PID,DN,DP,TN,RL,text,data,path,storage_type,text_type,update_time
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 1)","(text, speed trap reported ahead)","(data, None)","(path, database//Jane//1625260854-883084-0.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 2)","(text, heavy traffic reported ahead)","(data, None)","(path, database//Jane//1625260854-883239-1.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 3)","(text, watch out, accident reported ahead)","(data, None)","(path, database//Jane//1625260854-883240-2.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 4)","(text, watch out, hazard reported ahead)","(data, None)","(path, database//Jane//1625260854-883241-3.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 5)","(text, You are entering an enforcement zone)","(data, None)","(path, database//Jane//1625260854-884956-20.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 6)","(text, You are leaving an enforcement zone)","(data, None)","(path, database//Jane//1625260854-884958-21.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 7)","(text, Entering a crime risk area)","(data, None)","(path, database//Jane//1625260854-884959-22.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 8)","(text, Crime risk area)","(data, None)","(path, database//Jane//1625260854-884959-23.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 9)","(text, watch out, object on road ahead)","(data, None)","(path, database//Jane//1625260854-883637-4.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 10)","(text, watch out, pothole on road ahead)","(data, None)","(path, database//Jane//1625260854-883638-5.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 11)","(text, watch out, road kill on road ahead)","(data, None)","(path, database//Jane//1625260854-883639-6.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 12)","(text, watch out, vehicle stopped on shoulder ahead)","(data, None)","(path, database//Jane//1625260854-883639-7.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 13)","(text, red light camera reported ahead)","(data, None)","(path, database//Jane//1625260854-884597-16.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 14)","(text, Approaching a railroad crossing)","(data, None)","(path, database//Jane//1625260854-884599-17.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 15)","(text, Beep from a friend)","(data, None)","(path, database//Jane//1625260854-884599-18.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 16)","(text, Message from a friend)","(data, None)","(path, database//Jane//1625260854-884600-19.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 17)","(text, watch out, animal on shoulder ahead)","(data, None)","(path, database//Jane//1625260854-883871-8.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 18)","(text, watch out, fog reported ahead)","(data, None)","(path, database//Jane//1625260854-883872-9.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 19)","(text, watch out, hail reported ahead)","(data, None)","(path, database//Jane//1625260854-883873-10.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 20)","(text, watch out, rain reported ahead)","(data, None)","(path, database//Jane//1625260854-883873-11.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 21)","(text, Average speed enforcement zone ahead)","(data, None)","(path, database//Jane//1625260854-885193-24.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 22)","(text, Entering speed enforcement zone)","(data, None)","(path, database//Jane//1625260854-885195-25.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 23)","(text, Exiting average speed enforcement zone)","(data, None)","(path, database//Jane//1625260854-885195-26.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 24)","(text, Entering high risk or illegal area)","(data, None)","(path, database//Jane//1625260854-885196-27.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 25)","(text, watch out, snow reported ahead)","(data, None)","(path, database//Jane//1625260854-884242-12.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 26)","(text, watch out, Construction on road ahead)","(data, None)","(path, database//Jane//1625260854-884243-13.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 27)","(text, watch out, vehicle stopped on road ahead)","(data, None)","(path, database//Jane//1625260854-884244-14.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 28)","(text, police reported ahead)","(data, None)","(path, database//Jane//1625260854-884244-15.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 29)","(text, in)","(data, None)","(path, database//Jane//1625260855-367390-44.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 30)","(text, to)","(data, None)","(path, database//Jane//1625260855-367395-45.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 31)","(text, on)","(data, None)","(path, database//Jane//1625260855-367396-46.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 32)","(text, meters)","(data, None)","(path, database//Jane//1625260855-367397-47.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 33)","(text, Approaching stop point)","(data, None)","(path, database//Jane//1625260855-365752-40.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 34)","(text, Did you drop off your rider?)","(data, None)","(path, database//Jane//1625260855-365757-41.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 35)","(text, you've arrived at)","(data, None)","(path, database//Jane//1625260855-365758-42.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 36)","(text, within)","(data, None)","(path, database//Jane//1625260855-365759-43.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 37)","(text, Reminder, turn on your headlights.)","(data, None)","(path, database//Jane//1625260855-85391-32.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 38)","(text, Wazer needs help)","(data, None)","(path, database//Jane//1625260855-85394-33.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(PID, com.waze)","(DN, tts.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.waze/waze/tts/tts.db)","(TN, Jane)","(RL, 39)","(text, Let's go)","(data, None)","(path, database//Jane//1625260855-85395-34.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
