PID,DN,DP,TN,RL,_id,table_name,name,type_name,default_value,is_nullable,is_primary,is_autoincrement,is_deleted,is_added,foreign_table,foreign_column,on_foreign_key_update,on_foreign_key_delete
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 1)","(_id, 1)","(table_name, properties)","(name, _id)","(type_name, INTEGER)","(default_value, None)","(is_nullable, 0)","(is_primary, 1)","(is_autoincrement, 1)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 2)","(_id, 2)","(table_name, properties)","(name, key)","(type_name, TEXT)","(default_value, None)","(is_nullable, 0)","(is_primary, 0)","(is_autoincrement, 0)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 3)","(_id, 3)","(table_name, properties)","(name, value)","(type_name, TEXT)","(default_value, None)","(is_nullable, 1)","(is_primary, 0)","(is_autoincrement, 0)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 4)","(_id, 4)","(table_name, folder_counts)","(name, _id)","(type_name, INTEGER)","(default_value, None)","(is_nullable, 0)","(is_primary, 1)","(is_autoincrement, 1)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 5)","(_id, 5)","(table_name, folder_counts)","(name, folder)","(type_name, TEXT)","(default_value, None)","(is_nullable, 1)","(is_primary, 0)","(is_autoincrement, 0)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 6)","(_id, 6)","(table_name, folder_counts)","(name, unread_count)","(type_name, INTEGER)","(default_value, None)","(is_nullable, 1)","(is_primary, 0)","(is_autoincrement, 0)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 7)","(_id, 7)","(table_name, folder_counts)","(name, unseen_count)","(type_name, INTEGER)","(default_value, None)","(is_nullable, 1)","(is_primary, 0)","(is_autoincrement, 0)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 8)","(_id, 8)","(table_name, folder_counts)","(name, last_seen_time)","(type_name, INTEGER)","(default_value, None)","(is_nullable, 1)","(is_primary, 0)","(is_autoincrement, 0)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 9)","(_id, 9)","(table_name, folders)","(name, _id)","(type_name, INTEGER)","(default_value, None)","(is_nullable, 0)","(is_primary, 1)","(is_autoincrement, 1)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 10)","(_id, 10)","(table_name, folders)","(name, folder)","(type_name, TEXT)","(default_value, None)","(is_nullable, 1)","(is_primary, 0)","(is_autoincrement, 0)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 11)","(_id, 11)","(table_name, folders)","(name, thread_key)","(type_name, TEXT)","(default_value, None)","(is_nullable, 1)","(is_primary, 0)","(is_autoincrement, 0)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 12)","(_id, 12)","(table_name, folders)","(name, timestamp_ms)","(type_name, INTEGER)","(default_value, None)","(is_nullable, 1)","(is_primary, 0)","(is_autoincrement, 0)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 13)","(_id, 143)","(table_name, threads_metadata)","(name, _id)","(type_name, INTEGER)","(default_value, None)","(is_nullable, 0)","(is_primary, 1)","(is_autoincrement, 1)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 14)","(_id, 144)","(table_name, threads_metadata)","(name, thread_key)","(type_name, TEXT)","(default_value, None)","(is_nullable, 1)","(is_primary, 0)","(is_autoincrement, 0)","(is_deleted, 0)","(is_added, 0)","(foreign_table, threads)","(foreign_column, thread_key)","(on_foreign_key_update, NO ACTION)","(on_foreign_key_delete, CASCADE)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 15)","(_id, 145)","(table_name, threads_metadata)","(name, game_data)","(type_name, TEXT)","(default_value, None)","(is_nullable, 1)","(is_primary, 0)","(is_autoincrement, 0)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
"(PID, com.facebook.orca)","(DN, threads_db2)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/threads_db2)","(TN, sqliteproc_schema)","(RL, 16)","(_id, 146)","(table_name, threads_metadata)","(name, mentorship_data)","(type_name, TEXT)","(default_value, None)","(is_nullable, 1)","(is_primary, 0)","(is_autoincrement, 0)","(is_deleted, 0)","(is_added, 0)","(foreign_table, None)","(foreign_column, None)","(on_foreign_key_update, None)","(on_foreign_key_delete, None)"
