PID,DN,DP,TN,RL,_id,tweet_type,type,sender_id,owner_id,tag,g_status_id,ref_id,is_read,updated_at,pc,preview_draft_id,preview_media
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, status_groups)","(RL, 1)","(_id, 4405)","(tweet_type, 0)","(type, 6)","(sender_id, 475222380)","(owner_id, 1378525099184291843)","(tag, -1)","(g_status_id, 1405587846363336713)","(ref_id, 1405587846363336713)","(is_read, 0)","(updated_at, 1623953231000)","(pc, None)","(preview_draft_id, None)","(preview_media, None)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, status_groups)","(RL, 2)","(_id, 5324)","(tweet_type, 0)","(type, 0)","(sender_id, 1378525099184291843)","(owner_id, 1378525099184291843)","(tag, -1)","(g_status_id, 1410457439334449156)","(ref_id, 1410457439334449156)","(is_read, 0)","(updated_at, 1625114233000)","(pc, None)","(preview_draft_id, None)","(preview_media, None)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, status_groups)","(RL, 3)","(_id, 6951)","(tweet_type, 0)","(type, 6)","(sender_id, 189247694)","(owner_id, 1378525099184291843)","(tag, -1)","(g_status_id, 1416166391594561537)","(ref_id, 1416166391594561537)","(is_read, 0)","(updated_at, 1626475353000)","(pc, None)","(preview_draft_id, None)","(preview_media, None)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, status_groups)","(RL, 4)","(_id, 6953)","(tweet_type, 0)","(type, 6)","(sender_id, 475222380)","(owner_id, 1378525099184291843)","(tag, -1)","(g_status_id, 1416415714274160643)","(ref_id, 1416415714274160643)","(is_read, 0)","(updated_at, 1626534796000)","(pc, None)","(preview_draft_id, None)","(preview_media, None)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, status_groups)","(RL, 5)","(_id, 6954)","(tweet_type, 0)","(type, 6)","(sender_id, 348850186)","(owner_id, 1378525099184291843)","(tag, -1)","(g_status_id, 1416206100924338184)","(ref_id, 1416206100924338184)","(is_read, 0)","(updated_at, 1626484820000)","(pc, None)","(preview_draft_id, None)","(preview_media, None)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, status_groups)","(RL, 6)","(_id, 6956)","(tweet_type, 0)","(type, 6)","(sender_id, 1369435613330608135)","(owner_id, 1378525099184291843)","(tag, -1)","(g_status_id, 1416154247389925391)","(ref_id, 1416154247389925391)","(is_read, 0)","(updated_at, 1626472458000)","(pc, None)","(preview_draft_id, None)","(preview_media, None)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, status_groups)","(RL, 7)","(_id, 6958)","(tweet_type, 0)","(type, 6)","(sender_id, 495242747)","(owner_id, 1378525099184291843)","(tag, -1)","(g_status_id, 1416074010689998851)","(ref_id, 1416074010689998851)","(is_read, 0)","(updated_at, 1626453328000)","(pc, None)","(preview_draft_id, None)","(preview_media, None)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, status_groups)","(RL, 8)","(_id, 7167)","(tweet_type, 0)","(type, 6)","(sender_id, 522777613)","(owner_id, 1378525099184291843)","(tag, -1)","(g_status_id, 1416846335454683142)","(ref_id, 1416846335454683142)","(is_read, 0)","(updated_at, 1626637464000)","(pc, None)","(preview_draft_id, None)","(preview_media, None)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, status_groups)","(RL, 9)","(_id, 7168)","(tweet_type, 0)","(type, 6)","(sender_id, 475222380)","(owner_id, 1378525099184291843)","(tag, -1)","(g_status_id, 1416468531886108677)","(ref_id, 1416468531886108677)","(is_read, 0)","(updated_at, 1626547389000)","(pc, None)","(preview_draft_id, None)","(preview_media, None)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, status_groups)","(RL, 10)","(_id, 7169)","(tweet_type, 0)","(type, 6)","(sender_id, 475222380)","(owner_id, 1378525099184291843)","(tag, -1)","(g_status_id, 1416765472360603652)","(ref_id, 1416765472360603652)","(is_read, 0)","(updated_at, 1626618185000)","(pc, None)","(preview_draft_id, None)","(preview_media, None)"
