PID,DN,DP,TN,RL,tbl,idx,stat
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 1)","(tbl, media_sync_table)","(idx, media_sync_main_index)","(stat, 135 3 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 2)","(tbl, suggested_actions)","(idx, pending_high_priority_suggestions_idx)","(stat, 13 1 1 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 3)","(tbl, suggested_actions)","(idx, sqlite_autoindex_suggested_actions_1)","(stat, 13 1 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 4)","(tbl, promo)","(idx, dismissed_time_ms_idx)","(stat, 8 3)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 5)","(tbl, promo)","(idx, sqlite_autoindex_promo_1)","(stat, 8 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 6)","(tbl, partition_versions)","(idx, sqlite_autoindex_partition_versions_1)","(stat, 16 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 7)","(tbl, search_proto_store)","(idx, sqlite_autoindex_search_proto_store_1)","(stat, 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 8)","(tbl, selective_backup)","(idx, sqlite_autoindex_selective_backup_1)","(stat, 14 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 9)","(tbl, local_media)","(idx, content_uri_local_media_idx)","(stat, 76 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 10)","(tbl, local_media)","(idx, media_store_id_dedup_key_local_media_idx)","(stat, 76 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 11)","(tbl, local_media)","(idx, first_backup_timestamp_idx)","(stat, 76 76)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 12)","(tbl, local_media)","(idx, camera_state_dedup_key_local_media_idx)","(stat, 76 76 76 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 13)","(tbl, local_media)","(idx, local_media_bucket_id_idx)","(stat, 76 38 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 14)","(tbl, local_media)","(idx, main_local_media_idx)","(stat, 76 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 15)","(tbl, local_media)","(idx, sqlite_autoindex_local_media_1)","(stat, 76 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 16)","(tbl, partition_views)","(idx, sqlite_autoindex_partition_views_1)","(stat, 8 4 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 17)","(tbl, partition_tables)","(idx, sqlite_autoindex_partition_tables_1)","(stat, 112 7 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 18)","(tbl, metadata_sync)","(idx, None)","(stat, 4)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 19)","(tbl, android_metadata)","(idx, None)","(stat, 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 20)","(tbl, day_segmented_date_headers)","(idx, day_segmented_date_headers_idx)","(stat, 15 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 21)","(tbl, day_segmented_date_headers)","(idx, sqlite_autoindex_day_segmented_date_headers_1)","(stat, 15 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 22)","(tbl, actors)","(idx, sqlite_autoindex_actors_1)","(stat, 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 23)","(tbl, media)","(idx, media_location_idx)","(stat, 76 38 38 38 38 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 24)","(tbl, media)","(idx, min_upload_utc_timestamp_idx)","(stat, 76 76 76 76 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 25)","(tbl, media)","(idx, is_archived_idx)","(stat, 76 76 76 76 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 26)","(tbl, media)","(idx, is_favorite_idx)","(stat, 76 76 76 76 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 27)","(tbl, media)","(idx, media_oem_special_type_idx)","(stat, 76 76 76 1 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 28)","(tbl, media)","(idx, media_vr_type_idx)","(stat, 76 38 38 38 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 29)","(tbl, media)","(idx, media_composition_type_idx)","(stat, 76 76 76 1 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 30)","(tbl, media)","(idx, media_camera_folder_paging_idx)","(stat, 76 76 76 76 1 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 31)","(tbl, media)","(idx, media_deleted_timestamp_idx)","(stat, 76 76 1 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 32)","(tbl, media)","(idx, sqlite_autoindex_media_1)","(stat, 76 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 33)","(tbl, obsolete_processor_ids)","(idx, sqlite_autoindex_obsolete_processor_ids_1)","(stat, 55 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 34)","(tbl, all_media_count)","(idx, None)","(stat, 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 35)","(tbl, on_device_mi)","(idx, ondevicemi_dedup_model_idx)","(stat, 4 1 1)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, sqlite_stat1)","(RL, 36)","(tbl, on_device_mi)","(idx, sqlite_autoindex_on_device_mi_1)","(stat, 4 1 1 1)"
