PID,DN,DP,TN,RL,logSourceName,packageName
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 1)","(logSourceName, ANDROID_GSA_COUNTERS)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 2)","(logSourceName, FEDASS_LOGS)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 3)","(logSourceName, STREAMZ_ANDROID_GSA)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 4)","(logSourceName, CRONET_ANDROID_GSA)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 5)","(logSourceName, ANDROID_GSA)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 6)","(logSourceName, CHIME)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 7)","(logSourceName, ANDROID_GSA_HIGH_PRIORITY_EVENTS)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 8)","(logSourceName, ANDROID_GSA_ANDROID_PRIMES)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 9)","(logSourceName, OPA_TV)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 10)","(logSourceName, STREAMZ_NGA)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 11)","(logSourceName, SHERLOG)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 12)","(logSourceName, OPA_TV_ANDROID_PRIMES)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 13)","(logSourceName, FEDASS_COUNTERS)","(packageName, com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 14)","(logSourceName, CAMERA_LITE)","(packageName, com.google.android.libraries.lens.nbu.device#com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 15)","(logSourceName, SEARCHLITE)","(packageName, com.google.android.libraries.lens.nbu.device#com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 16)","(logSourceName, CAMERA_LITE)","(packageName, com.google.android.libraries.lens.nbu.user#com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 17)","(logSourceName, SEARCHLITE)","(packageName, com.google.android.libraries.lens.nbu.user#com.google.android.googlequicksearchbox)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 18)","(logSourceName, PEOPLE_AUTOCOMPLETE)","(packageName, com.google.android.gm)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, LogSources)","(RL, 19)","(logSourceName, SOCIAL_AFFINITY_CHIPS)","(packageName, com.google.android.gm)"
