Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,_id,storyId,userName,displayName,isLocal,profileDescription,sharedId,latestTimeStamp,latestExpirationTimestamp,viewed,kind,groupStoryType,isPostable,rankingId,lastSyncRequestId,minSequence,maxSequence,lastSyncMaxSequence,userId
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, Story)","(Line ID, 1)","(_id, 1)","(storyId, my_story_ads79sdf)",,"(displayName, My Story)","(isLocal, 0)",,,,,,"(kind, 2)",,"(isPostable, 1)",,,,,"(lastSyncMaxSequence, 0)","(userId, 9002a6f8-54f8-4540-bc16-53a6b37f0688)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, Story)","(Line ID, 2)","(_id, 2)","(storyId, my_story_ads79sdf)",,"(displayName, My Story)","(isLocal, 0)",,,,,,"(kind, 3)",,"(isPostable, 0)",,,,,"(lastSyncMaxSequence, 0)","(userId, 9002a6f8-54f8-4540-bc16-53a6b37f0688)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, Story)","(Line ID, 3)","(_id, 3)","(storyId, glssubmittolive)",,"(displayName, Snap Map)","(isLocal, 0)",,"(sharedId, glssubmittolive)",,,,"(kind, 5)",,"(isPostable, 1)",,,"(minSequence, 1.0)","(maxSequence, 0.0)","(lastSyncMaxSequence, 0)",
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, Story)","(Line ID, 4)","(_id, 4)","(storyId, glssubmittolive)",,"(displayName, Spotlight)","(isLocal, 1)",,"(sharedId, glssubmittolive)",,,,"(kind, 10)",,"(isPostable, 1)",,,,,"(lastSyncMaxSequence, 0)",
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, Story)","(Line ID, 5)","(_id, 5)","(storyId, 84ee8839-3911-492d-8b94-72dd80f3713a)",,,"(isLocal, 0)",,,,,,"(kind, 0)",,"(isPostable, 0)","(rankingId, 0.0)","(lastSyncRequestId, 206c4591-4d51-c04f-8103-63300a547347)","(minSequence, 1.0)","(maxSequence, 1.0)","(lastSyncMaxSequence, 1)","(userId, 84ee8839-3911-492d-8b94-72dd80f3713a)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, Story)","(Line ID, 6)","(_id, 6)","(storyId, c7b9184b-4d87-4265-bf79-ac3473d8e57a)",,"(displayName, BethD)","(isLocal, 0)",,,,,,"(kind, 0)",,"(isPostable, 0)",,,"(minSequence, 1.0)","(maxSequence, 1.0)","(lastSyncMaxSequence, 1)","(userId, c7b9184b-4d87-4265-bf79-ac3473d8e57a)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, Story)","(Line ID, 7)","(_id, 7)","(storyId, 8ced30e2-97b4-441c-af16-21de0932393c)",,"(displayName, Babygirl🥵😘💚)","(isLocal, 0)",,,,,,"(kind, 0)",,"(isPostable, 0)",,,"(minSequence, 1.0)","(maxSequence, 8.0)","(lastSyncMaxSequence, 8)","(userId, 8ced30e2-97b4-441c-af16-21de0932393c)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, Story)","(Line ID, 8)","(_id, 8)","(storyId, abbb3850-1676-4234-9f9c-ada9227a72e1)",,"(displayName, Kaylaaa)","(isLocal, 0)",,,,,,"(kind, 0)",,"(isPostable, 0)",,,"(minSequence, 1.0)","(maxSequence, 5.0)","(lastSyncMaxSequence, 5)","(userId, abbb3850-1676-4234-9f9c-ada9227a72e1)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, Story)","(Line ID, 9)","(_id, 9)","(storyId, a4bfe646-8e7c-4654-9bd7-7267d704b692)",,"(displayName, 💜Laii💙)","(isLocal, 0)",,,,,,"(kind, 0)",,"(isPostable, 0)",,,"(minSequence, 1.0)","(maxSequence, 10.0)","(lastSyncMaxSequence, 10)","(userId, a4bfe646-8e7c-4654-9bd7-7267d704b692)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, Story)","(Line ID, 10)","(_id, 10)","(storyId, 3e71338a-f17e-4b3e-a39e-3f413a485314)",,"(displayName, isabela cobley)","(isLocal, 0)",,,,,,"(kind, 0)",,"(isPostable, 0)",,,"(minSequence, 1.0)","(maxSequence, 1.0)","(lastSyncMaxSequence, 1)","(userId, 3e71338a-f17e-4b3e-a39e-3f413a485314)"
