Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,name,seq
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 1)","(name, SnapToken)","(seq, 1)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 2)","(name, Contact)","(seq, 12)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 3)","(name, Story)","(seq, 95)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 4)","(name, PostableStory)","(seq, 1)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 5)","(name, DeltaForceSync)","(seq, 4)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 6)","(name, UploadLocation)","(seq, 44)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 7)","(name, FriendLinkSyncState)","(seq, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 8)","(name, CombinedUsername)","(seq, 1894)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 9)","(name, Friend)","(seq, 1437)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 10)","(name, FriendSyncState)","(seq, 1)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 11)","(name, FriendsFeedScore)","(seq, 156)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 12)","(name, Snap)","(seq, 450)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 13)","(name, StorySnap)","(seq, 450)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 14)","(name, NotificationData)","(seq, 2)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 15)","(name, FriendWhoAddedMe)","(seq, 10)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 16)","(name, LocalConversationInteraction)","(seq, 2)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 17)","(name, SuggestedFriend)","(seq, 7500)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 18)","(name, SuggestedFriendPlacement)","(seq, 37500)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 19)","(name, TopSuggestedFriend)","(seq, 138)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 20)","(name, BenchmarkRequestRecord)","(seq, 1)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 21)","(name, MessageMediaRef)","(seq, 4)"
"(Package Name, com.snapchat.android)","(Original Database Name, main.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/main.db)","(Table Name, sqlite_sequence)","(Line ID, 22)","(name, Feed)","(seq, 3)"
