PID,DN,DP,TN,RL,keyword_id,url_id,term,normalized_term
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 1)","(keyword_id, 2)","(url_id, 8)","(term, townside)","(normalized_term, townside)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 2)","(keyword_id, 2)","(url_id, 13)","(term, raines)","(normalized_term, raines)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 3)","(keyword_id, 2)","(url_id, 15)","(term, raines property management)","(normalized_term, raines property management)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 4)","(keyword_id, 2)","(url_id, 16)","(term, raines property management)","(normalized_term, raines property management)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 5)","(keyword_id, 2)","(url_id, 21)","(term, properties for rent near me)","(normalized_term, properties for rent near me)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 6)","(keyword_id, 2)","(url_id, 35)","(term, beavercreek commons)","(normalized_term, beavercreek commons)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 7)","(keyword_id, 2)","(url_id, 36)","(term, beavercreek commons)","(normalized_term, beavercreek commons)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 8)","(keyword_id, 2)","(url_id, 37)","(term, beavercreek commons)","(normalized_term, beavercreek commons)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 9)","(keyword_id, 2)","(url_id, 38)","(term, nike outlet)","(normalized_term, nike outlet)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 10)","(keyword_id, 2)","(url_id, 39)","(term, nike outlet monroe ohio)","(normalized_term, nike outlet monroe ohio)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 11)","(keyword_id, 2)","(url_id, 40)","(term, apple mask)","(normalized_term, apple mask)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 12)","(keyword_id, 2)","(url_id, 55)","(term, how to mount a pendrive on android)","(normalized_term, how to mount a pendrive on android)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 13)","(keyword_id, 2)","(url_id, 57)","(term, what is otg file format does android support)","(normalized_term, what is otg file format does android support)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 14)","(keyword_id, 2)","(url_id, 58)","(term, can a samsung micro usb connector transfer data)","(normalized_term, can a samsung micro usb connector transfer data)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 15)","(keyword_id, 2)","(url_id, 61)","(term, can a samsung micro usb connector transfer data)","(normalized_term, can a samsung micro usb connector transfer data)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 16)","(keyword_id, 2)","(url_id, 62)","(term, can a samsung micro usb connector transfer data)","(normalized_term, can a samsung micro usb connector transfer data)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 17)","(keyword_id, 2)","(url_id, 63)","(term, can a samsung micro usb connector transfer data)","(normalized_term, can a samsung micro usb connector transfer data)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 18)","(keyword_id, 2)","(url_id, 64)","(term, can a samsung micro usb connector transfer data)","(normalized_term, can a samsung micro usb connector transfer data)"
"(PID, com.android.chrome)","(DN, History)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/History)","(TN, keyword_search_terms)","(RL, 19)","(keyword_id, 2)","(url_id, 65)","(term, can a samsung micro usb connector transfer data)","(normalized_term, can a samsung micro usb connector transfer data)"
