PID,DN,DP,TN,RL,origin,type,used_count,last_access_time,last_modified_time
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 1)","(origin, https://www.google.com/)","(type, 0)","(used_count, 862)","(last_access_time, 13270191473076833)","(last_modified_time, 13270191412902507)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 2)","(origin, https://www.townside.com/)","(type, 0)","(used_count, 5)","(last_access_time, 13265612817497614)","(last_modified_time, 13265612817507942)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 3)","(origin, https://gum.criteo.com/)","(type, 0)","(used_count, 17)","(last_access_time, 13269983001279047)","(last_modified_time, 13262069209616578)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 4)","(origin, https://7f895e71e54d403a6d23d08a285ddb1c.safeframe.googlesyndication.com/)","(type, 0)","(used_count, 4)","(last_access_time, 13262069224569487)","(last_modified_time, 13262069215763971)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 5)","(origin, https://300a39bf581739beb49c8806441c68e8.safeframe.googlesyndication.com/)","(type, 0)","(used_count, 2)","(last_access_time, 13262069235438647)","(last_modified_time, 13262069234848190)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 6)","(origin, https://3be6f5e085888d4b2b9dd8e48e28e346.safeframe.googlesyndication.com/)","(type, 0)","(used_count, 2)","(last_access_time, 13262069367919130)","(last_modified_time, 13262069338720101)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 7)","(origin, https://90d1de65e1bacc83816fb6ae60115118.safeframe.googlesyndication.com/)","(type, 0)","(used_count, 2)","(last_access_time, 13262069399807623)","(last_modified_time, 13262069380797278)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 8)","(origin, https://941967c218a9b9f555288bd602176668.safeframe.googlesyndication.com/)","(type, 0)","(used_count, 2)","(last_access_time, 13262069487929443)","(last_modified_time, 13262069422721759)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 9)","(origin, https://f95ebdf9daf6aa68b114a4d036d09f59.safeframe.googlesyndication.com/)","(type, 0)","(used_count, 2)","(last_access_time, 13262069496036944)","(last_modified_time, 13262069494531699)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 10)","(origin, https://www.rent.com/)","(type, 0)","(used_count, 2)","(last_access_time, 13263945330055297)","(last_modified_time, 13263945329468577)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 11)","(origin, https://www.amazon.com/)","(type, 0)","(used_count, 2)","(last_access_time, 13269984500714432)","(last_modified_time, 13266352417062762)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 12)","(origin, https://www.walmart.com/)","(type, 0)","(used_count, 0)","(last_access_time, 13269984371518808)","(last_modified_time, 13269984371518808)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 13)","(origin, https://www.edmunds.com/)","(type, 0)","(used_count, 2)","(last_access_time, 13270189355113003)","(last_modified_time, 13269985719687412)"
"(PID, com.android.chrome)","(DN, QuotaManager)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.chrome/app_chrome/Default/QuotaManager)","(TN, OriginInfoTable)","(RL, 14)","(origin, https://b3c4002b0d738c9f4f8572be5a9cf664.safeframe.googlesyndication.com/)","(type, 0)","(used_count, 2)","(last_access_time, 13269985723956242)","(last_modified_time, 13269985722383993)"
