PID,DN,DP,TN,RL,update_id,key,value
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/update_service)","(TN, package_updates_extras)","(RL, 1)","(update_id, 66)","(key, release_action)","(value, 2)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/update_service)","(TN, package_updates_extras)","(RL, 2)","(update_id, 66)","(key, download_allow_metered)","(value, false)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/update_service)","(TN, package_updates_extras)","(RL, 3)","(update_id, 66)","(key, release_safemode)","(value, false)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/update_service)","(TN, package_updates_extras)","(RL, 4)","(update_id, 66)","(key, release_file_name)","(value, com.facebook.katana.285416949.apk)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/update_service)","(TN, package_updates_extras)","(RL, 5)","(update_id, 66)","(key, release_file_hash)","(value, JEuniOGQ+s1Z+Di5WQK+n46GRBwHkjThQTDx2H0OhgI=)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/update_service)","(TN, package_updates_extras)","(RL, 6)","(update_id, 66)","(key, download_binary_type)","(value, 3)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/update_service)","(TN, package_updates_extras)","(RL, 7)","(update_id, 66)","(key, patch_size)","(value, -1)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/update_service)","(TN, package_updates_extras)","(RL, 8)","(update_id, 66)","(key, installer_api)","(value, 6)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/update_service)","(TN, package_updates_extras)","(RL, 9)","(update_id, 66)","(key, auto_update)","(value, true)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/update_service)","(TN, package_updates_extras)","(RL, 10)","(update_id, 66)","(key, created_ts)","(value, 1626512480328)"
