PID,DN,DP,TN,RL,_id,url,key,relativePath,eTag,validTill,touched,length
"(PID, com.autotrader.android)","(DN, libCachedImageData.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.autotrader.android/files/libCachedImageData.db)","(TN, cacheObject)","(RL, 1)","(_id, 1)","(url, https://www.autotrader.com/content/dam/autotrader/homepage/styles/DefaultDesk_Style_AWD4WD.png)","(key, https://www.autotrader.com/content/dam/autotrader/homepage/styles/DefaultDesk_Style_AWD4WD.png)","(relativePath, 12167ba0-daf8-11eb-a520-979fbd6404d4.png)","(eTag, ""ecb5f74cf2547b6825e2e7bcd223bc45"")","(validTill, 1625226055514)","(touched, 1625204455533)","(length, 20338)"
"(PID, com.autotrader.android)","(DN, libCachedImageData.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.autotrader.android/files/libCachedImageData.db)","(TN, cacheObject)","(RL, 2)","(_id, 2)","(url, https://www.autotrader.com/content/dam/autotrader/homepage/styles/DefaultDesk_Style_LUXURY.png)","(key, https://www.autotrader.com/content/dam/autotrader/homepage/styles/DefaultDesk_Style_LUXURY.png)","(relativePath, 121c20f0-daf8-11eb-9ccf-ed625605b403.png)","(eTag, ""e936418949e9fcf7c78862965748ac8e"")","(validTill, 1625226055551)","(touched, 1625204455560)","(length, 18555)"
"(PID, com.autotrader.android)","(DN, libCachedImageData.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.autotrader.android/files/libCachedImageData.db)","(TN, cacheObject)","(RL, 3)","(_id, 3)","(url, https://www.autotrader.com/content/dam/autotrader/homepage/styles/DefaultDesk_Style_HYBEL.png)","(key, https://www.autotrader.com/content/dam/autotrader/homepage/styles/DefaultDesk_Style_HYBEL.png)","(relativePath, 1224d380-daf8-11eb-a46c-4f10062fbbf3.png)","(eTag, ""5966c6e66434898b18bb21fa27f8836c"")","(validTill, 1625226055608)","(touched, 1625204455616)","(length, 18839)"
"(PID, com.autotrader.android)","(DN, libCachedImageData.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.autotrader.android/files/libCachedImageData.db)","(TN, cacheObject)","(RL, 4)","(_id, 4)","(url, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_SEDAN.png)","(key, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_SEDAN.png)","(relativePath, 122596d0-daf8-11eb-8557-5f2aa249e6c0.png)","(eTag, ""cd706211e524972132195c193c568db6"")","(validTill, 1625809255613)","(touched, 1625204455619)","(length, 24057)"
"(PID, com.autotrader.android)","(DN, libCachedImageData.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.autotrader.android/files/libCachedImageData.db)","(TN, cacheObject)","(RL, 5)","(_id, 5)","(url, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_VANMV.png)","(key, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_VANMV.png)","(relativePath, 1225bde0-daf8-11eb-804b-ff799c0bd185.png)","(eTag, ""ce5339112e550a7dd36cb8a7c5e372f2"")","(validTill, 1625809255613)","(touched, 1625204455620)","(length, 25772)"
"(PID, com.autotrader.android)","(DN, libCachedImageData.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.autotrader.android/files/libCachedImageData.db)","(TN, cacheObject)","(RL, 6)","(_id, 6)","(url, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_SUVCROSS.png)","(key, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_SUVCROSS.png)","(relativePath, 1224fa90-daf8-11eb-966b-6316cfaa04ae.png)","(eTag, ""7d7e4daa6b8c4b409945dc562ecd7fdf"")","(validTill, 1625809255609)","(touched, 1625204455621)","(length, 27645)"
"(PID, com.autotrader.android)","(DN, libCachedImageData.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.autotrader.android/files/libCachedImageData.db)","(TN, cacheObject)","(RL, 7)","(_id, 7)","(url, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_WAGON.png)","(key, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_WAGON.png)","(relativePath, 1227b9b0-daf8-11eb-914a-bdf3b571cd6d.png)","(eTag, ""958640484bd706c95c66a1f81a911857"")","(validTill, 1625809255627)","(touched, 1625204455639)","(length, 28425)"
"(PID, com.autotrader.android)","(DN, libCachedImageData.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.autotrader.android/files/libCachedImageData.db)","(TN, cacheObject)","(RL, 8)","(_id, 8)","(url, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_CONVERT.png)","(key, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_CONVERT.png)","(relativePath, 12287d00-daf8-11eb-9a9b-75fbbd354364.png)","(eTag, ""d5a398af3c6361b9a6e99440529fc484"")","(validTill, 1625809255632)","(touched, 1625204455642)","(length, 22798)"
"(PID, com.autotrader.android)","(DN, libCachedImageData.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.autotrader.android/files/libCachedImageData.db)","(TN, cacheObject)","(RL, 9)","(_id, 9)","(url, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_HATCH.png)","(key, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_HATCH.png)","(relativePath, 12287d00-daf8-11eb-887e-cb0fc1fe6a6f.png)","(eTag, ""4276a94734d62428c75c26281cd90c89"")","(validTill, 1625809255632)","(touched, 1625204455645)","(length, 26497)"
"(PID, com.autotrader.android)","(DN, libCachedImageData.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.autotrader.android/files/libCachedImageData.db)","(TN, cacheObject)","(RL, 10)","(_id, 10)","(url, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_COUPE.png)","(key, https://d21es0l2n6bf8y.cloudfront.net/content/dam/mobileapps/Shop_by_Style/DefaultDesk_Style_COUPE.png)","(relativePath, 12296760-daf8-11eb-a356-7d62d1d955fb.png)","(eTag, ""361cec92f9bba34fa519f93baee586fb"")","(validTill, 1625809255638)","(touched, 1625204455645)","(length, 22795)"
"(PID, com.autotrader.android)","(DN, libCachedImageData.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.autotrader.android/files/libCachedImageData.db)","(TN, cacheObject)","(RL, 11)","(_id, 11)","(url, https://www.autotrader.com/content/dam/autotrader/homepage/styles/DefaultDesk_Style_COMMERCIAL.png)","(key, https://www.autotrader.com/content/dam/autotrader/homepage/styles/DefaultDesk_Style_COMMERCIAL.png)","(relativePath, 122c4d90-daf8-11eb-81c1-57902d928878.png)","(eTag, ""a354e66fb05ad4d99c2501791eb27556"")","(validTill, 1625226055657)","(touched, 1625204455659)","(length, 19968)"
"(PID, com.autotrader.android)","(DN, libCachedImageData.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.autotrader.android/files/libCachedImageData.db)","(TN, cacheObject)","(RL, 12)","(_id, 12)","(url, https://www.autotrader.com/content/dam/autotrader/oem_media/logos_standard/FORD.gif)","(key, https://www.autotrader.com/content/dam/autotrader/oem_media/logos_standard/FORD.gif)","(relativePath, 123686c0-daf8-11eb-bdb5-7f5f422da62a.gif)","(eTag, ""3f11d7bb5ac9303053e6dbb6d2393a0f"")","(validTill, 1625226055724)","(touched, 1625204455727)","(length, 3286)"
