PID,DN,DP,TN,RL,id,name,current,make,seoName
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(TN, models)","(RL, 1)","(id, 299)","(name, Accord)","(current, 1)","(make, Honda)","(seoName, Accord)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(TN, models)","(RL, 2)","(id, 300)","(name, Accord Crosstour)","(current, 0)","(make, Honda)","(seoName, Accord-Crosstour)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(TN, models)","(RL, 3)","(id, 301)","(name, CR-V)","(current, 1)","(make, Honda)","(seoName, CR-V)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(TN, models)","(RL, 4)","(id, 302)","(name, CR-Z)","(current, 0)","(make, Honda)","(seoName, CR-Z)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(TN, models)","(RL, 5)","(id, 303)","(name, Civic)","(current, 1)","(make, Honda)","(seoName, Civic)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(TN, models)","(RL, 6)","(id, 304)","(name, Fit)","(current, 1)","(make, Honda)","(seoName, Fit)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(TN, models)","(RL, 7)","(id, 305)","(name, HR-V)","(current, 1)","(make, Honda)","(seoName, HR-V)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(TN, models)","(RL, 8)","(id, 306)","(name, Odyssey)","(current, 1)","(make, Honda)","(seoName, Odyssey)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(TN, models)","(RL, 9)","(id, 307)","(name, Pilot)","(current, 1)","(make, Honda)","(seoName, Pilot)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.carfax.consumer/databases/room-ucl-db)","(TN, models)","(RL, 10)","(id, 308)","(name, Ridgeline)","(current, 1)","(make, Honda)","(seoName, Ridgeline)"
