PID,DN,DP,TN,RL,_id,client_key,group_key,sync_token
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, DeltaForceSync)","(RL, 1)","(_id, 3)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_mood	)","(sync_token, CAUYyYjR2Jcv)"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, DeltaForceSync)","(RL, 2)","(_id, 4)","(client_key, stickers)","(group_key, StickerPackMetadata	contextual_black_lives_matter_060220	)","(sync_token, CAMY0IjR2Jcv)"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, DeltaForceSync)","(RL, 3)","(_id, 5)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_face_body	)","(sync_token, CAMY0IjR2Jcv)"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, DeltaForceSync)","(RL, 4)","(_id, 6)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_sky	)","(sync_token, CAEY0YjR2Jcv)"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, DeltaForceSync)","(RL, 5)","(_id, 7)","(client_key, stickers)","(group_key, StickerPackMetadata	contextual_midday_en	)","(sync_token, CAMY0YjR2Jcv)"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, DeltaForceSync)","(RL, 6)","(_id, 8)","(client_key, stickers)","(group_key, StickerPackMetadata	Asian_Heritage_APIDA_Month_050121	)","(sync_token, CAEY0YjR2Jcv)"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, DeltaForceSync)","(RL, 7)","(_id, 9)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_arrows_marks_cta	)","(sync_token, CAIY0YjR2Jcv)"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, DeltaForceSync)","(RL, 8)","(_id, 10)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_seasons_horo	)","(sync_token, CAUY0ojR2Jcv)"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, DeltaForceSync)","(RL, 9)","(_id, 11)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_flowers_plants	)","(sync_token, CAEY0ojR2Jcv)"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, DeltaForceSync)","(RL, 10)","(_id, 12)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_hearts	)","(sync_token, CAMY0ojR2Jcv)"
