PID,DN,DP,TN,RL,data,pk
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 1)","(data, aACiAR1jb20uc2Ftc3VuZy5hbmRyb2lkLmFwcC5ub3Rlc9EB0fb32B3aVUA=)","(pk, com.samsung.android.app.notes)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 2)","(data, aMDVjgOiARtjb20uc2VjLmFuZHJvaWQuYXBwLm15ZmlsZXPRAaLt77E7tFVA2QGi7e+xO7RVQOEBou3vsTu0VUA=)","(pk, com.sec.android.app.myfiles)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 3)","(data, aLSyiAGiAR1jb20uZ29vZ2xlLmFuZHJvaWQuYXBwcy50dXJib9EBou3vsTu0VUDZAaLt77E7tFVA4QGi7e+xO7RVQA==)","(pk, com.google.android.apps.turbo)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 4)","(data, aL/c4gWiASJjb20uc2Ftc3VuZy5hbmRyb2lkLmFwcC5hb2RzZXJ2aWNl0QGi7e+xO7RVQNkBou3vsTu0VUDhAaLt77E7tFVA)","(pk, com.samsung.android.app.aodservice)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 5)","(data, aKbLCaIBGmNvbS5kc2kuYW50LnNlcnZpY2Uuc29ja2V00QFBOBEvCYhVQNkBQTgRLwmIVUDhAUE4ES8JiFVA)","(pk, com.dsi.ant.service.socket)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 6)","(data, aL/l2gGiARhjb20uc2Ftc3VuZy5hbmRyb2lkLmxvb2zRAXoqhfQ1T1VA2QF6KoX0NU9VQOEBeiqF9DVPVUA=)","(pk, com.samsung.android.lool)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 7)","(data, aLaojxCiARVjb20uaW5zdGFncmFtLmFuZHJvaWTRAQAAAAAAAFFA2QEAAAAAAABRQOEBAAAAAAAAUUA=)","(pk, com.instagram.android)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 8)","(data, aK+argmiARZjb20uZ29vZ2xlLmFuZHJvaWQudHRz0QEAAAAAAABRQNkBAAAAAAAAUUDhAQAAAAAAAFFA)","(pk, com.google.android.tts)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 9)","(data, aPrdH6IBG2NvbS5kc2kuYW50LnBsdWdpbnMuYW50cGx1c9EBAAAAAABAUEDZAQAAAAAAQFBA4QEAAAAAAEBQQA==)","(pk, com.dsi.ant.plugins.antplus)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 10)","(data, aM+WzQqiARxjb20uZ29vZ2xlLmFuZHJvaWQuYXBwcy5kb2Nz0QE7BG4sg1JLQNkBeD9ymq/VSUDhAXg/cpqv1UlA)","(pk, com.google.android.apps.docs)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 11)","(data, aI/LEKIBI2NvbS5zZWMuYW5kcm9pZC5hcHAucG9wdXBjYWxjdWxhdG9y0QF4P3Kar9VJQNkBeD9ymq/VSUDhAXg/cpqv1UlA)","(pk, com.sec.android.app.popupcalculator)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 12)","(data, aIODbqIBEGNvbS5zZWMuc3BwLnB1c2jRAQAAAAAAAD9A2QEAAAAAAAA/QOEBAAAAAAAAP0A=)","(pk, com.sec.spp.push)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 13)","(data, aIGMzwKiARpvcmcudGhvdWdodGNyaW1lLnNlY3VyZXNtc9EBAAAAAAAAMUDZAQAAAAAAADJA4QEAAAAAAAAyQA==)","(pk, org.thoughtcrime.securesms)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 14)","(data, aKLQoQGiARRjb20udG1vYmlsZS50dWVzZGF5c9EBZoMmXzZoOUDZAZMvGzT5sjlA4QHA2w8JvP05QA==)","(pk, com.tmobile.tuesdays)"
"(PID, com.android.vending)","(DN, session_constraints.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.android.vending/databases/session_constraints.db)","(TN, app_data)","(RL, 15)","(data, aIuZdKIBDWNvbS5zZWMucGVudXDRAcDbDwm8/TlA2QE0+bJBky86QOEBYaWnFlZ6OkA=)","(pk, com.sec.penup)"
