PID,DN,DP,TN,RL,package_name,package_signature_hash,managed_flags
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 1)","(package_name, com.facebook.katana)","(package_signature_hash, ijxLJi1yGs1JpL-X1SExmchvork)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 2)","(package_name, com.facebook.lite)","(package_signature_hash, ijxLJi1yGs1JpL-X1SExmchvork)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 3)","(package_name, com.instagram.android)","(package_signature_hash, xW-31ZG6ZwTfBH_Zj1NTcv6gAhE)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 4)","(package_name, com.facebook.orca)","(package_signature_hash, ijxLJi1yGs1JpL-X1SExmchvork)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 5)","(package_name, com.facebook.stub)","(package_signature_hash, ijxLJi1yGs1JpL-X1SExmchvork)","(managed_flags, 1)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 6)","(package_name, com.facebook.pages.app)","(package_signature_hash, ijxLJi1yGs1JpL-X1SExmchvork)","(managed_flags, 1)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 7)","(package_name, com.facebook.services)","(package_signature_hash, e6fv6XFRr-tXEDJmsSANhagF19Y)","(managed_flags, 1)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 8)","(package_name, com.facebook.mlite)","(package_signature_hash, ijxLJi1yGs1JpL-X1SExmchvork)","(managed_flags, 1)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 9)","(package_name, com.oculus.home)","(package_signature_hash, Sr9mhPKOEwo6NysnYn803dZ3UiY)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 10)","(package_name, com.oculus.horizon)","(package_signature_hash, Sr9mhPKOEwo6NysnYn803dZ3UiY)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 11)","(package_name, com.oculus.vrshell)","(package_signature_hash, MxZgtt071YLz39PLrkVGckZooCE)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 12)","(package_name, com.oculus.vrshell.home)","(package_signature_hash, MxZgtt071YLz39PLrkVGckZooCE)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 13)","(package_name, com.oculus.browser)","(package_signature_hash, MxZgtt071YLz39PLrkVGckZooCE)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 14)","(package_name, com.oculus.mediaplayer)","(package_signature_hash, MxZgtt071YLz39PLrkVGckZooCE)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 15)","(package_name, com.oculus.systemactivities)","(package_signature_hash, MxZgtt071YLz39PLrkVGckZooCE)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 16)","(package_name, com.oculus.systemdriver)","(package_signature_hash, MxZgtt071YLz39PLrkVGckZooCE)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 17)","(package_name, com.oculus.rooms)","(package_signature_hash, MxZgtt071YLz39PLrkVGckZooCE)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 18)","(package_name, com.oculus.systemutilities)","(package_signature_hash, MxZgtt071YLz39PLrkVGckZooCE)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 19)","(package_name, com.oculus.ocms)","(package_signature_hash, Sr9mhPKOEwo6NysnYn803dZ3UiY)","(managed_flags, 0)"
"(PID, com.facebook.appmanager)","(DN, managed_apps)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/managed_apps)","(TN, settings)","(RL, 20)","(package_name, com.whatsapp)","(package_signature_hash, OKD31QX-GP7GT780Psqq8xDb15k)","(managed_flags, 0)"
