PID,DN,DP,TN,RL,content_uri
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 1)","(content_uri, content://media/external/images/media/40)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 2)","(content_uri, content://media/external/images/media/39)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 3)","(content_uri, content://media/external/images/media/36)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 4)","(content_uri, content://media/external/images/media/35)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 5)","(content_uri, content://media/external/images/media/33)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 6)","(content_uri, content://media/external/images/media/32)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 7)","(content_uri, content://media/external/images/media/31)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 8)","(content_uri, content://media/external/images/media/30)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 9)","(content_uri, content://media/external/images/media/29)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 10)","(content_uri, content://media/external/images/media/28)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 11)","(content_uri, content://media/external/images/media/27)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 12)","(content_uri, content://media/external/images/media/26)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 13)","(content_uri, content://media/external/images/media/25)"
"(PID, com.google.android.apps.photos)","(DN, gphotos0.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.apps.photos/databases/gphotos0.db)","(TN, selective_backup)","(RL, 14)","(content_uri, content://media/external/images/media/24)"
