PID,DN,DP,TN,RL,_id,display1,display2,query,date
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 1)","(_id, 1)","(display1, facebook)","(display2, 3)","(query, facebook)","(date, 1617477861655)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 2)","(_id, 3)","(display1, twittet)","(display2, 3)","(query, twittet)","(date, 1617500823252)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 3)","(_id, 4)","(display1, twitter)","(display2, 3)","(query, twitter)","(date, 1617500825408)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 4)","(_id, 5)","(display1, facebook messenger)","(display2, 3)","(query, facebook messenger)","(date, 1617501531540)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 5)","(_id, 6)","(display1, instagram)","(display2, 3)","(query, instagram)","(date, 1617502688385)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 6)","(_id, 7)","(display1, whatsapp)","(display2, 3)","(query, whatsapp)","(date, 1617502928633)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 7)","(_id, 8)","(display1, t mobile tuesday)","(display2, 3)","(query, t mobile tuesday)","(date, 1617755541221)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 8)","(_id, 9)","(display1, packet capture)","(display2, 3)","(query, packet capture)","(date, 1617777749196)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 9)","(_id, 10)","(display1, measurement app)","(display2, 3)","(query, measurement app)","(date, 1618344487532)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 10)","(_id, 11)","(display1, been verified)","(display2, 3)","(query, been verified)","(date, 1622599078976)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 11)","(_id, 12)","(display1, most expensive app)","(display2, 3)","(query, most expensive app)","(date, 1622599857263)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 12)","(_id, 13)","(display1, reddit)","(display2, 3)","(query, reddit)","(date, 1622779744653)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 13)","(_id, 14)","(display1, interesting apps)","(display2, 3)","(query, interesting apps)","(date, 1623778811102)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 14)","(_id, 15)","(display1, spy app for cheaters free)","(display2, 3)","(query, spy app for cheaters free)","(date, 1623778888335)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 15)","(_id, 16)","(display1, hidden apps disguised as other apps)","(display2, 3)","(query, hidden apps disguised as other apps)","(date, 1623779239294)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 16)","(_id, 17)","(display1, car)","(display2, 3)","(query, car)","(date, 1623992963522)"
"(PID, com.android.vending)","(DN, suggestions.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.vending/databases/suggestions.db)","(TN, suggestions)","(RL, 17)","(_id, 18)","(display1, car utility app)","(display2, 3)","(query, car utility app)","(date, 1623993148707)"
