PID,DN,DP,TN,RL,seq_num,start_walltime,start_uptime,start_event,end_walltime,end_uptime,end_event
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 1)","(seq_num, 108)","(start_walltime, 1618078063)","(start_uptime, 40277)","(start_event, 1)","(end_walltime, 1618078063)","(end_uptime, 40278)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 2)","(seq_num, 109)","(start_walltime, 1618078064)","(start_uptime, 40278)","(start_event, 1)","(end_walltime, 1618078064)","(end_uptime, 40278)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 3)","(seq_num, 110)","(start_walltime, 1618078064)","(start_uptime, 40278)","(start_event, 1)","(end_walltime, 1618078064)","(end_uptime, 40278)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 4)","(seq_num, 111)","(start_walltime, 1618078064)","(start_uptime, 40278)","(start_event, 1)","(end_walltime, 1618078093)","(end_uptime, 40308)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 5)","(seq_num, 112)","(start_walltime, 1618078698)","(start_uptime, 40872)","(start_event, 1)","(end_walltime, 1618078698)","(end_uptime, 40873)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 6)","(seq_num, 113)","(start_walltime, 1618078755)","(start_uptime, 40929)","(start_event, 1)","(end_walltime, 1618078755)","(end_uptime, 40930)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 7)","(seq_num, 114)","(start_walltime, 1618078756)","(start_uptime, 40930)","(start_event, 1)","(end_walltime, 1618078757)","(end_uptime, 40931)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 8)","(seq_num, 115)","(start_walltime, 1618078792)","(start_uptime, 40966)","(start_event, 1)","(end_walltime, 1618078792)","(end_uptime, 40966)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 9)","(seq_num, 116)","(start_walltime, 1618092486)","(start_uptime, 44074)","(start_event, 1)","(end_walltime, 1618092487)","(end_uptime, 44075)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 10)","(seq_num, 117)","(start_walltime, 1618092487)","(start_uptime, 44075)","(start_event, 1)","(end_walltime, 1618092488)","(end_uptime, 44077)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 11)","(seq_num, 118)","(start_walltime, 1618093297)","(start_uptime, 44362)","(start_event, 1)","(end_walltime, 1618093297)","(end_uptime, 44362)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 12)","(seq_num, 119)","(start_walltime, 1618093313)","(start_uptime, 44379)","(start_event, 1)","(end_walltime, 1618093314)","(end_uptime, 44379)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 13)","(seq_num, 120)","(start_walltime, 1618093363)","(start_uptime, 44428)","(start_event, 1)","(end_walltime, 1618093363)","(end_uptime, 44428)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 14)","(seq_num, 121)","(start_walltime, 1618199781)","(start_uptime, 50229)","(start_event, 1)","(end_walltime, 1618199782)","(end_uptime, 50230)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 15)","(seq_num, 122)","(start_walltime, 1618199782)","(start_uptime, 50230)","(start_event, 1)","(end_walltime, 1618199784)","(end_uptime, 50231)","(end_event, 2)"
"(PID, com.facebook.katana)","(DN, time_in_app_100065791655767.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.katana/databases/time_in_app_100065791655767.db)","(TN, intervals)","(RL, 16)","(seq_num, 123)","(start_walltime, 1618199863)","(start_uptime, 50310)","(start_event, 1)","(end_walltime, 1618199875)","(end_uptime, 50322)","(end_event, 2)"
