PID,DN,DP,TN,RL,key,last_modified_time,pending_delete,size
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 1)","(key, 1cf3f7098a8cfecdcdfd6de1de3848736fd1d4f1265c4ba6887a7b3eaebd5f2f)","(last_modified_time, 1617595006192)","(pending_delete, 0)","(size, 2633)"
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 2)","(key, 8d18beec40e9ca6946cf47492e81cc65d874a21a7c6e2d75b2e01d897486a8be)","(last_modified_time, 1625719066274)","(pending_delete, 0)","(size, 9562)"
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 3)","(key, 04c4328aea8d3f4d50d5e88a39b7e78ab8c28cea789bf42ccd8ec98b4eddadf2)","(last_modified_time, 1625719065670)","(pending_delete, 0)","(size, 7002)"
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 4)","(key, 988456af50684ece9cb0a01f07ad5f65a89bfdd5f2906340c34edd919aa08749)","(last_modified_time, 1625719065190)","(pending_delete, 0)","(size, 1360)"
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 5)","(key, 5f8a38b8df6f09e7cae909d8a9cbfd7906091c91f4e856424efab86656c342e5)","(last_modified_time, 1625719065190)","(pending_delete, 0)","(size, 1498)"
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 6)","(key, bedad160ad419f2a2cc8ff9d89e86508c938c10d65115c98d25f61f2bf619297)","(last_modified_time, 1625719065670)","(pending_delete, 0)","(size, 1611)"
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 7)","(key, 7671d18be0afae6fe4b9e9efb9c73c36eace8fee9e074c29195e830f2dc6322b)","(last_modified_time, 1623689480957)","(pending_delete, 0)","(size, 1487)"
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 8)","(key, 9dab0baa289f5f4cf509ebfee2d06b974b89050f0d971eaf305eceb8f37d17cd)","(last_modified_time, 1625719065190)","(pending_delete, 0)","(size, 1459)"
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 9)","(key, 1e7e98c395cab8737dec2e4872f988407e736c30a2a807729e57141e4cc0770d)","(last_modified_time, 1625719065670)","(pending_delete, 0)","(size, 1327)"
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 10)","(key, 19edb373e0d064ad14fc241e69b0015039c940007f3f8161c621604f05ce59ea)","(last_modified_time, 1625719065670)","(pending_delete, 0)","(size, 1521)"
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 11)","(key, 10d8a81852636b1b82a760e6de31419d1446890f73642d64350cc7c49c6d25c4)","(last_modified_time, 1625719065670)","(pending_delete, 0)","(size, 1590)"
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 12)","(key, d52ec71397c3e6e8a21629efe7ae55cca1ba5654bd1defbdb5a3a5209dc94619)","(last_modified_time, 1625719065670)","(pending_delete, 0)","(size, 1645)"
"(PID, com.google.android.apps.photos)","(DN, disk_cache)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.apps.photos/databases/disk_cache)","(TN, journal)","(RL, 13)","(key, c92ca50f441ffa523a6b92a3da1a5e82551c4b6d5660a9c93486df81b09f596d)","(last_modified_time, 1625719065670)","(pending_delete, 0)","(size, 1327)"
