Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,_id,client_key,group_key,sync_token
"(Package Name, com.snapchat.android)","(Original Database Name, stickers.core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(Table Name, DeltaForceSync)","(Line ID, 1)","(_id, 3)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_mood	)","(sync_token, b'\x08\x05\x18\xc9\x88\xd1\xd8\x97/')"
"(Package Name, com.snapchat.android)","(Original Database Name, stickers.core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(Table Name, DeltaForceSync)","(Line ID, 2)","(_id, 4)","(client_key, stickers)","(group_key, StickerPackMetadata	contextual_black_lives_matter_060220	)","(sync_token, b'\x08\x03\x18\xd0\x88\xd1\xd8\x97/')"
"(Package Name, com.snapchat.android)","(Original Database Name, stickers.core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(Table Name, DeltaForceSync)","(Line ID, 3)","(_id, 5)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_face_body	)","(sync_token, b'\x08\x03\x18\xd0\x88\xd1\xd8\x97/')"
"(Package Name, com.snapchat.android)","(Original Database Name, stickers.core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(Table Name, DeltaForceSync)","(Line ID, 4)","(_id, 6)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_sky	)","(sync_token, b'\x08\x01\x18\xd1\x88\xd1\xd8\x97/')"
"(Package Name, com.snapchat.android)","(Original Database Name, stickers.core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(Table Name, DeltaForceSync)","(Line ID, 5)","(_id, 7)","(client_key, stickers)","(group_key, StickerPackMetadata	contextual_midday_en	)","(sync_token, b'\x08\x03\x18\xd1\x88\xd1\xd8\x97/')"
"(Package Name, com.snapchat.android)","(Original Database Name, stickers.core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(Table Name, DeltaForceSync)","(Line ID, 6)","(_id, 8)","(client_key, stickers)","(group_key, StickerPackMetadata	Asian_Heritage_APIDA_Month_050121	)","(sync_token, b'\x08\x01\x18\xd1\x88\xd1\xd8\x97/')"
"(Package Name, com.snapchat.android)","(Original Database Name, stickers.core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(Table Name, DeltaForceSync)","(Line ID, 7)","(_id, 9)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_arrows_marks_cta	)","(sync_token, b'\x08\x02\x18\xd1\x88\xd1\xd8\x97/')"
"(Package Name, com.snapchat.android)","(Original Database Name, stickers.core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(Table Name, DeltaForceSync)","(Line ID, 8)","(_id, 10)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_seasons_horo	)","(sync_token, b'\x08\x05\x18\xd2\x88\xd1\xd8\x97/')"
"(Package Name, com.snapchat.android)","(Original Database Name, stickers.core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(Table Name, DeltaForceSync)","(Line ID, 9)","(_id, 11)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_flowers_plants	)","(sync_token, b'\x08\x01\x18\xd2\x88\xd1\xd8\x97/')"
"(Package Name, com.snapchat.android)","(Original Database Name, stickers.core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(Table Name, DeltaForceSync)","(Line ID, 10)","(_id, 12)","(client_key, stickers)","(group_key, StickerPackMetadata	hometab_megapack_hearts	)","(sync_token, b'\x08\x03\x18\xd2\x88\xd1\xd8\x97/')"
