PID,DN,DP,TN,RL,id,family,width,weight,italic,version,last_accessed
"(PID, com.google.android.gms)","(DN, metadata.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/metadata.db)","(TN, metadata)","(RL, 1)","(id, 1)","(family, Press Start 2P)","(width, 100.0)","(weight, 400)","(italic, 0)","(version, 5)","(last_accessed, 2021-04-03 19:28:56)"
"(PID, com.google.android.gms)","(DN, metadata.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/metadata.db)","(TN, metadata)","(RL, 2)","(id, 2)","(family, Roboto)","(width, 100.0)","(weight, 400)","(italic, 0)","(version, 16)","(last_accessed, 2021-04-04 04:43:53)"
"(PID, com.google.android.gms)","(DN, metadata.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/metadata.db)","(TN, metadata)","(RL, 3)","(id, 3)","(family, Roboto)","(width, 100.0)","(weight, 500)","(italic, 0)","(version, 16)","(last_accessed, 2021-04-04 04:43:54)"
"(PID, com.google.android.gms)","(DN, metadata.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/metadata.db)","(TN, metadata)","(RL, 4)","(id, 5)","(family, Noto Color Emoji Compat)","(width, 100.0)","(weight, 400)","(italic, 0)","(version, 23)","(last_accessed, 2021-07-22 19:23:36)"
"(PID, com.google.android.gms)","(DN, metadata.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/metadata.db)","(TN, metadata)","(RL, 5)","(id, 6)","(family, Lato)","(width, 100.0)","(weight, 400)","(italic, 0)","(version, 13)","(last_accessed, 2021-06-02 01:58:31)"
"(PID, com.google.android.gms)","(DN, metadata.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/metadata.db)","(TN, metadata)","(RL, 6)","(id, 7)","(family, Lato)","(width, 100.0)","(weight, 300)","(italic, 0)","(version, 13)","(last_accessed, 2021-06-02 01:59:34)"
"(PID, com.google.android.gms)","(DN, metadata.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/metadata.db)","(TN, metadata)","(RL, 7)","(id, 8)","(family, Poppins)","(width, 100.0)","(weight, 600)","(italic, 0)","(version, 5)","(last_accessed, 2021-07-05 18:26:42)"
"(PID, com.google.android.gms)","(DN, metadata.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/metadata.db)","(TN, metadata)","(RL, 8)","(id, 9)","(family, Poppins)","(width, 100.0)","(weight, 500)","(italic, 0)","(version, 5)","(last_accessed, 2021-07-05 18:26:50)"
"(PID, com.google.android.gms)","(DN, metadata.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/metadata.db)","(TN, metadata)","(RL, 9)","(id, 10)","(family, Poppins)","(width, 100.0)","(weight, 700)","(italic, 0)","(version, 5)","(last_accessed, 2021-07-05 18:26:42)"
"(PID, com.google.android.gms)","(DN, metadata.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.google.android.gms/databases/metadata.db)","(TN, metadata)","(RL, 10)","(id, 11)","(family, Poppins)","(width, 100.0)","(weight, 400)","(italic, 0)","(version, 5)","(last_accessed, 2021-07-05 18:26:50)"
