PID,DN,DP,TN,RL,_id,packId,cacheKey,categoryId,packType,version,priority,targetPreview,targetChat,targetOdg,targetBitmojiQuickReply,hasBanner,displayCount,isSponsored,isExpandable,stickerPackTitle
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/stickers.core.db)","(TN, StickerPackMetadata)","(RL, 1)","(_id, 15)","(packId, hometab_megapack_seasons_horo)","(cacheKey, -189621188)","(categoryId, geosticker)","(packType, GEOSTICKER)","(version, 17)","(priority, 250)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(targetBitmojiQuickReply, 0)","(hasBanner, 0)","(displayCount, 8)","(isSponsored, 0)","(isExpandable, 0)","(stickerPackTitle, )"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/stickers.core.db)","(TN, StickerPackMetadata)","(RL, 2)","(_id, 16)","(packId, hometab_megapack_mood)","(cacheKey, -1050348485)","(categoryId, geosticker)","(packType, GEOSTICKER)","(version, 12)","(priority, 455)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(targetBitmojiQuickReply, 0)","(hasBanner, 0)","(displayCount, 24)","(isSponsored, 0)","(isExpandable, 0)","(stickerPackTitle, )"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/stickers.core.db)","(TN, StickerPackMetadata)","(RL, 3)","(_id, 17)","(packId, hometab_megapack_face_body)","(cacheKey, -1891199032)","(categoryId, geosticker)","(packType, GEOSTICKER)","(version, 7)","(priority, 175)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(targetBitmojiQuickReply, 0)","(hasBanner, 0)","(displayCount, 16)","(isSponsored, 0)","(isExpandable, 0)","(stickerPackTitle, )"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/stickers.core.db)","(TN, StickerPackMetadata)","(RL, 4)","(_id, 18)","(packId, contextual_midday_en)","(cacheKey, -1026691272)","(categoryId, geosticker)","(packType, GEOSTICKER)","(version, 4)","(priority, 800)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(targetBitmojiQuickReply, 0)","(hasBanner, 0)","(displayCount, 4)","(isSponsored, 0)","(isExpandable, 0)","(stickerPackTitle, )"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/stickers.core.db)","(TN, StickerPackMetadata)","(RL, 5)","(_id, 19)","(packId, bitmoji-geopack-en-bitmoji-hometab-preview-hometab_exp2)","(cacheKey, 1787043233)","(categoryId, bitmoji-megapack)","(packType, BITMOJI_META)","(version, -1778897843)","(priority, 497)","(targetPreview, 1)","(targetChat, 1)","(targetOdg, 0)","(targetBitmojiQuickReply, 0)","(hasBanner, 0)","(displayCount, 4)","(isSponsored, 0)","(isExpandable, 0)","(stickerPackTitle, )"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/stickers.core.db)","(TN, StickerPackMetadata)","(RL, 6)","(_id, 20)","(packId, hometab_megapack_flowers_plants)","(cacheKey, 1762566855)","(categoryId, geosticker)","(packType, GEOSTICKER)","(version, 3)","(priority, 225)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(targetBitmojiQuickReply, 0)","(hasBanner, 0)","(displayCount, 20)","(isSponsored, 0)","(isExpandable, 0)","(stickerPackTitle, )"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/stickers.core.db)","(TN, StickerPackMetadata)","(RL, 7)","(_id, 21)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(categoryId, geosticker)","(packType, GEOSTICKER)","(version, 8)","(priority, 325)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(targetBitmojiQuickReply, 0)","(hasBanner, 0)","(displayCount, 35)","(isSponsored, 0)","(isExpandable, 0)","(stickerPackTitle, )"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/stickers.core.db)","(TN, StickerPackMetadata)","(RL, 8)","(_id, 22)","(packId, hometab_megapack_arrows_marks_cta)","(cacheKey, 1984685077)","(categoryId, geosticker)","(packType, GEOSTICKER)","(version, 4)","(priority, 350)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(targetBitmojiQuickReply, 0)","(hasBanner, 0)","(displayCount, 12)","(isSponsored, 0)","(isExpandable, 0)","(stickerPackTitle, )"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/stickers.core.db)","(TN, StickerPackMetadata)","(RL, 9)","(_id, 23)","(packId, hometab_megapack_text)","(cacheKey, -1380265172)","(categoryId, geosticker)","(packType, GEOSTICKER)","(version, 6)","(priority, 375)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(targetBitmojiQuickReply, 0)","(hasBanner, 0)","(displayCount, 35)","(isSponsored, 0)","(isExpandable, 0)","(stickerPackTitle, )"
"(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/stickers.core.db)","(TN, StickerPackMetadata)","(RL, 10)","(_id, 24)","(packId, hometab_megapack_hearts)","(cacheKey, 1589999)","(categoryId, geosticker)","(packType, GEOSTICKER)","(version, 10)","(priority, 470)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(targetBitmojiQuickReply, 0)","(hasBanner, 0)","(displayCount, 24)","(isSponsored, 0)","(isExpandable, 0)","(stickerPackTitle, )"
