PID,DN,DP,TN,RL,row_id,server_perm_id,settings_proto,is_dirty
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, settings)","(RL, 1)","(row_id, 1)","(server_perm_id, 118)","(settings_proto, CgMxMTjK9qDQAgsKAzExOOqk0s0BAA==)","(is_dirty, 0)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, settings)","(RL, 2)","(row_id, 2)","(server_perm_id, 21)","(settings_proto, CgIyMcr2oNACCgoCMjHYpNLNAQA=)","(is_dirty, 0)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, settings)","(RL, 3)","(row_id, 4)","(server_perm_id, 54)","(settings_proto, CgI1NMr2oNACUgoCNTTC05DfA0gKRusLoxmdGpEYtBODC4cZxQuzCd4a4xvUF+8Y2RiyFPUV0BjxC9cZjBLqC5YcvhLzC/cb2Q/MF64buA+ZE8Ectg64F64avQ4=)","(is_dirty, 0)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, settings)","(RL, 4)","(row_id, 5)","(server_perm_id, 94)","(settings_proto, CgI5NMr2oNACCgoCOTTYpNLNAQA=)","(is_dirty, 0)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, settings)","(RL, 5)","(row_id, 6)","(server_perm_id, 95)","(settings_proto, CgI5Ncr2oNACCgoCOTXwpNLNAQA=)","(is_dirty, 0)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, settings)","(RL, 6)","(row_id, 7)","(server_perm_id, 20)","(settings_proto, CgIyMMr2oNACRAoCMjCqwqPzAToKOAgBEhloZWlzZW5iZXJnY2Fycm9AZ21haWwuY29tUhloZWlzZW5iZXJnY2Fycm9AZ21haWwuY29t)","(is_dirty, 0)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, settings)","(RL, 7)","(row_id, 8)","(server_perm_id, 63)","(settings_proto, CgI2M8r2oNACCgoCNjPYpNLNAQE=)","(is_dirty, 0)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, settings)","(RL, 8)","(row_id, 9)","(server_perm_id, 82)","(settings_proto, CgI4Msr2oNACCgoCODLwpNLNAQE=)","(is_dirty, 0)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, settings)","(RL, 9)","(row_id, 10)","(server_perm_id, 51)","(settings_proto, CgI1Mcr2oNACCgoCNTHKkILTAwA=)","(is_dirty, 0)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, settings)","(RL, 10)","(row_id, 11)","(server_perm_id, 90)","(settings_proto, CgI5MMr2oNACCgoCOTCqwqPzAQA=)","(is_dirty, 0)"
