PID,DN,DP,TN,RL,name,seq
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 1)","(name, schema_version)","(seq, 2)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 2)","(name, settings)","(seq, 325)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 3)","(name, entity_sync_state)","(seq, 1)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 4)","(name, system_properties)","(seq, 14)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 5)","(name, write_sequence_id)","(seq, 1)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 6)","(name, clusters)","(seq, 9)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 7)","(name, items_sync_state)","(seq, 557)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 8)","(name, label_counts)","(seq, 30282)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 9)","(name, ads)","(seq, 414)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 10)","(name, sync_reasons)","(seq, 10)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 11)","(name, items)","(seq, 377)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 12)","(name, item_sync_reasons)","(seq, 770)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 13)","(name, item_visibility)","(seq, 9322)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 14)","(name, item_messages)","(seq, 348)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 15)","(name, entity_changes_to_sync_up)","(seq, 2)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 16)","(name, item_changes)","(seq, 175)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 17)","(name, item_visibility_update_work)","(seq, 3)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 18)","(name, item_message_tombstones)","(seq, 148)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, sqlite_sequence)","(RL, 19)","(name, item_tombstones)","(seq, 177)"
