Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,tag,lensId,lensIconContentUri
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 1)","(tag, babe)","(lensId, 52968320890)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2FTpnaukvIpjmEu76m6fZxu%3Fbo%3DEhgaABoAMgF9OgEEQgYI0eq--gVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 2)","(tag, baby)","(lensId, 46907320883)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2FZIUDjwQu92NfK26mdrH8X%3Fbo%3DEhgaABoAMgF9OgEEQgYIgIa_9gVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 3)","(tag, best)","(lensId, 54572950939)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2F9rklxZ0J7ZNoYPcNUOTPO%3Fbo%3DEhgaABoAMgF9OgEEQgYIzsK9_gVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 4)","(tag, bir)","(lensId, 52463100919)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2Fu1WOaAeDCIoPxtTpLd3n0%3Fbo%3DEhgaABoAMgF9OgEEQgYI8fmr-wVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 5)","(tag, birthday)","(lensId, 30973717251)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2FgOL3fO5FcVACN7XTM59Pe%3Fbo%3DEhgaABoAMgF9OgEEQgYI8LO68AVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 6)","(tag, bored)","(lensId, 37328131098)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2F6TDkhMrEdm1lz6Goq1MAu%3Fbo%3DEhgaABoAMgF9OgEEQgYI9v7D8AVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 7)","(tag, can)","(lensId, 47634310947)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2FRkMvst7ng2gTtYwxdG8cz%3Fbo%3DEhgaABoAMgF9OgEEQgYIhqi-9gVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 8)","(tag, car)","(lensId, 49141270878)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2FudAyIOmGqV5PPWQdEb6dd%3Fbo%3DEhgaABoAMgF9OgEEQgYIor-7-AVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 9)","(tag, chill)","(lensId, 53570880904)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2FSRcQhWHL1R0MCEm1h3YWe%3Fbo%3DEhgaABoAMgF9OgEEQgYIgKfm_AVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 10)","(tag, coffee)","(lensId, 50137600974)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2Fs5nO2Ufunt0eUmnDRra6Z%3Fbo%3DEhgaABoAMgF9OgEEQgYIqeb6-AVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 11)","(tag, cr)","(lensId, 40728920973)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2FY9EDNpXMGiiH6Qz18NjyZ%3Fbo%3DEhgaABoAMgF9OgEEQgYI3ujM8AVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 12)","(tag, crown)","(lensId, 40240691152)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2FJbMncPrG1MeoK6XthHY03%3Fbo%3DEhgaABoAMgF9OgEEQgYI78DO8AVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 13)","(tag, cry)","(lensId, 40728920973)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2FY9EDNpXMGiiH6Qz18NjyZ%3Fbo%3DEhgaABoAMgF9OgEEQgYI3ujM8AVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 14)","(tag, cute)","(lensId, 45672280910)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2FfRwKz0IhCmJbgUnsSH9oc%3Fbo%3DEhgaABoAMgF9OgEEQgYInP279AVIAlASYAE%253D%26uc%3D18)"
"(Package Name, com.snapchat.android)","(Original Database Name, feature)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/feature)","(Table Name, LensesToSuggest)","(Line ID, 15)","(tag, dog)","(lensId, 28450067240)","(lensIconContentUri, content://com.snapchat.android.provider/lens_icon/https%3A%2F%2Fbolt-gcdn.sc-cdn.net%2F3%2FzxXjJpAdQK7tH7msnKLEP%3Fbo%3DEhgaABoAMgF9OgEEQgYI6O_D8AVIAlASYAE%253D%26uc%3D18)"
