PID,DN,DP,TN,RL,frosting_id,apk_path,last_updated,pk,data
"(PID, com.android.vending)","(DN, frosting.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/frosting.db)","(TN, frosting)","(RL, 1)","(frosting_id, 0)","(apk_path, /system/app/FilterProvider/FilterProvider.apk)","(last_updated, 1230735600000)","(pk, com.samsung.android.provider.filterprovider)","(data, Citjb20uc2Ftc3VuZy5hbmRyb2lkLnByb3ZpZGVyLmZpbHRlcnByb3ZpZGVyEIDTu+zoIxotL3N5c3RlbS9hcHAvRmlsdGVyUHJvdmlkZXIvRmlsdGVyUHJvdmlkZXIuYXBr)"
"(PID, com.android.vending)","(DN, frosting.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/frosting.db)","(TN, frosting)","(RL, 2)","(frosting_id, 0)","(apk_path, /system/app/AutomationTest_FB/AutomationTest_FB.apk)","(last_updated, 1230735600000)","(pk, com.sec.android.app.DataCreate)","(data, Ch5jb20uc2VjLmFuZHJvaWQuYXBwLkRhdGFDcmVhdGUQgNO77OgjGjMvc3lzdGVtL2FwcC9BdXRvbWF0aW9uVGVzdF9GQi9BdXRvbWF0aW9uVGVzdF9GQi5hcGs=)"
"(PID, com.android.vending)","(DN, frosting.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/frosting.db)","(TN, frosting)","(RL, 3)","(frosting_id, 0)","(apk_path, /system/priv-app/CtsShimPrivPrebuilt/CtsShimPrivPrebuilt.apk)","(last_updated, 1230735600000)","(pk, com.android.cts.priv.ctsshim)","(data, Chxjb20uYW5kcm9pZC5jdHMucHJpdi5jdHNzaGltEIDTu+zoIxo8L3N5c3RlbS9wcml2LWFwcC9DdHNTaGltUHJpdlByZWJ1aWx0L0N0c1NoaW1Qcml2UHJlYnVpbHQuYXBr)"
"(PID, com.android.vending)","(DN, frosting.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/frosting.db)","(TN, frosting)","(RL, 4)","(frosting_id, 0)","(apk_path, /system/priv-app/SmartSwitchAssistant/SmartSwitchAssistant.apk)","(last_updated, 1230735600000)","(pk, com.samsung.android.smartswitchassistant)","(data, Cihjb20uc2Ftc3VuZy5hbmRyb2lkLnNtYXJ0c3dpdGNoYXNzaXN0YW50EIDTu+zoIxo+L3N5c3RlbS9wcml2LWFwcC9TbWFydFN3aXRjaEFzc2lzdGFudC9TbWFydFN3aXRjaEFzc2lzdGFudC5hcGs=)"
"(PID, com.android.vending)","(DN, frosting.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/frosting.db)","(TN, frosting)","(RL, 5)","(frosting_id, 0)","(apk_path, /system/priv-app/NSDSWebApp/NSDSWebApp.apk)","(last_updated, 1230735600000)","(pk, com.sec.vsim.ericssonnsds.webapp)","(data, CiBjb20uc2VjLnZzaW0uZXJpY3Nzb25uc2RzLndlYmFwcBCA07vs6CMaKi9zeXN0ZW0vcHJpdi1hcHAvTlNEU1dlYkFwcC9OU0RTV2ViQXBwLmFwaw==)"
"(PID, com.android.vending)","(DN, frosting.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/frosting.db)","(TN, frosting)","(RL, 6)","(frosting_id, 0)","(apk_path, /system/app/SetupWizardLegalProvider/SetupWizardLegalProvider.apk)","(last_updated, 1230735600000)","(pk, com.sec.android.app.setupwizardlegalprovider)","(data, Cixjb20uc2VjLmFuZHJvaWQuYXBwLnNldHVwd2l6YXJkbGVnYWxwcm92aWRlchCA07vs6CMaQS9zeXN0ZW0vYXBwL1NldHVwV2l6YXJkTGVnYWxQcm92aWRlci9TZXR1cFdpemFyZExlZ2FsUHJvdmlkZXIuYXBr)"
"(PID, com.android.vending)","(DN, frosting.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/frosting.db)","(TN, frosting)","(RL, 7)","(frosting_id, 0)","(apk_path, /system/priv-app/Finder/Finder.apk)","(last_updated, 1230735600000)","(pk, com.samsung.android.app.galaxyfinder)","(data, CiRjb20uc2Ftc3VuZy5hbmRyb2lkLmFwcC5nYWxheHlmaW5kZXIQgNO77OgjGiIvc3lzdGVtL3ByaXYtYXBwL0ZpbmRlci9GaW5kZXIuYXBr)"
"(PID, com.android.vending)","(DN, frosting.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/frosting.db)","(TN, frosting)","(RL, 8)","(frosting_id, 0)","(apk_path, /system/framework/VZWAPNLib_VZW.apk)","(last_updated, 1230735600000)","(pk, com.vzw.apnlib)","(data, Cg5jb20udnp3LmFwbmxpYhCA07vs6CMaIy9zeXN0ZW0vZnJhbWV3b3JrL1ZaV0FQTkxpYl9WWlcuYXBr)"
"(PID, com.android.vending)","(DN, frosting.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/frosting.db)","(TN, frosting)","(RL, 9)","(frosting_id, 0)","(apk_path, /system/priv-app/NSFusedLocation_v5.3/NSFusedLocation_v5.3.apk)","(last_updated, 1230735600000)","(pk, com.sec.location.nsflp2)","(data, Chdjb20uc2VjLmxvY2F0aW9uLm5zZmxwMhCA07vs6CMaPi9zeXN0ZW0vcHJpdi1hcHAvTlNGdXNlZExvY2F0aW9uX3Y1LjMvTlNGdXNlZExvY2F0aW9uX3Y1LjMuYXBr)"
"(PID, com.android.vending)","(DN, frosting.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.android.vending/databases/frosting.db)","(TN, frosting)","(RL, 10)","(frosting_id, 0)","(apk_path, /system/priv-app/ThemeStore/ThemeStore.apk)","(last_updated, 1230735600000)","(pk, com.samsung.android.themestore)","(data, Ch5jb20uc2Ftc3VuZy5hbmRyb2lkLnRoZW1lc3RvcmUQgNO77OgjGiovc3lzdGVtL3ByaXYtYXBwL1RoZW1lU3RvcmUvVGhlbWVTdG9yZS5hcGs=)"
