Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,text,data,path,storage_type,text_type,update_time
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 1)","(text, speed trap reported ahead)",,"(path, database//Jane//1625260854-883084-0.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 2)","(text, heavy traffic reported ahead)",,"(path, database//Jane//1625260854-883239-1.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 3)","(text, watch out, accident reported ahead)",,"(path, database//Jane//1625260854-883240-2.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 4)","(text, watch out, hazard reported ahead)",,"(path, database//Jane//1625260854-883241-3.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 5)","(text, You are entering an enforcement zone)",,"(path, database//Jane//1625260854-884956-20.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 6)","(text, You are leaving an enforcement zone)",,"(path, database//Jane//1625260854-884958-21.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 7)","(text, Entering a crime risk area)",,"(path, database//Jane//1625260854-884959-22.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 8)","(text, Crime risk area)",,"(path, database//Jane//1625260854-884959-23.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 9)","(text, watch out, object on road ahead)",,"(path, database//Jane//1625260854-883637-4.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 10)","(text, watch out, pothole on road ahead)",,"(path, database//Jane//1625260854-883638-5.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 11)","(text, watch out, road kill on road ahead)",,"(path, database//Jane//1625260854-883639-6.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 12)","(text, watch out, vehicle stopped on shoulder ahead)",,"(path, database//Jane//1625260854-883639-7.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 13)","(text, red light camera reported ahead)",,"(path, database//Jane//1625260854-884597-16.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 14)","(text, Approaching a railroad crossing)",,"(path, database//Jane//1625260854-884599-17.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 15)","(text, Beep from a friend)",,"(path, database//Jane//1625260854-884599-18.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 16)","(text, Message from a friend)",,"(path, database//Jane//1625260854-884600-19.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 17)","(text, watch out, animal on shoulder ahead)",,"(path, database//Jane//1625260854-883871-8.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 18)","(text, watch out, fog reported ahead)",,"(path, database//Jane//1625260854-883872-9.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 19)","(text, watch out, hail reported ahead)",,"(path, database//Jane//1625260854-883873-10.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 20)","(text, watch out, rain reported ahead)",,"(path, database//Jane//1625260854-883873-11.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 21)","(text, Average speed enforcement zone ahead)",,"(path, database//Jane//1625260854-885193-24.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 22)","(text, Entering speed enforcement zone)",,"(path, database//Jane//1625260854-885195-25.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 23)","(text, Exiting average speed enforcement zone)",,"(path, database//Jane//1625260854-885195-26.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
"(Package Name, com.waze)","(Original Database Name, tts.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.waze/waze/tts/tts.db)","(Table Name, Jane)","(Line ID, 24)","(text, Entering high risk or illegal area)",,"(path, database//Jane//1625260854-885196-27.tts)","(storage_type, 2)","(text_type, 0)","(update_time, 1625260855)"
