PID,DN,DP,TN,RL,_id,originalUsername,mutableUsername,encodedUsername
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 1)","(_id, 1)","(originalUsername, heisenbergcarro)","(mutableUsername, heisenbergcarro)","(encodedUsername, heisenbergcarro|heisenbergcarro)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 2)","(_id, 2)","(originalUsername, teamsnapchat)","(mutableUsername, None)","(encodedUsername, teamsnapchat|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 3)","(_id, 4)","(originalUsername, bbc2120)","(mutableUsername, None)","(encodedUsername, bbc2120|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 4)","(_id, 5)","(originalUsername, bethdutton2021)","(mutableUsername, None)","(encodedUsername, bethdutton2021|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 5)","(_id, 6)","(originalUsername, marsha4mellos)","(mutableUsername, None)","(encodedUsername, marsha4mellos|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 6)","(_id, 12)","(originalUsername, yyani040)","(mutableUsername, None)","(encodedUsername, yyani040|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 7)","(_id, 13)","(originalUsername, julianna_fish19)","(mutableUsername, None)","(encodedUsername, julianna_fish19|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 8)","(_id, 14)","(originalUsername, bowhoe123)","(mutableUsername, None)","(encodedUsername, bowhoe123|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 9)","(_id, 15)","(originalUsername, akessler906)","(mutableUsername, None)","(encodedUsername, akessler906|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 10)","(_id, 16)","(originalUsername, nathanmcbride13)","(mutableUsername, None)","(encodedUsername, nathanmcbride13|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 11)","(_id, 17)","(originalUsername, lauren100512)","(mutableUsername, None)","(encodedUsername, lauren100512|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 12)","(_id, 18)","(originalUsername, azzafatta_22)","(mutableUsername, None)","(encodedUsername, azzafatta_22|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 13)","(_id, 19)","(originalUsername, brandont4144)","(mutableUsername, None)","(encodedUsername, brandont4144|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 14)","(_id, 20)","(originalUsername, joondelgado2020)","(mutableUsername, None)","(encodedUsername, joondelgado2020|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 15)","(_id, 21)","(originalUsername, ioalnsen)","(mutableUsername, None)","(encodedUsername, ioalnsen|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 16)","(_id, 22)","(originalUsername, michellequijo19)","(mutableUsername, None)","(encodedUsername, michellequijo19|)"
"(PID, com.snapchat.android)","(DN, main.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/main.db)","(TN, CombinedUsername)","(RL, 17)","(_id, 23)","(originalUsername, newell_liv)","(mutableUsername, None)","(encodedUsername, newell_liv|)"
