PID,DN,DP,TN,RL,_id,value
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 1)","(_id, com.urbanairship.application.device.PLATFORM)","(value, 2)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 2)","(_id, com.urbanairship.application.device.PUSH_PROVIDER)","(value, class com.urbanairship.push.fcm.FcmPushProvider)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 3)","(_id, com.urbanairship.push.PENDING_TAG_GROUP_MUTATIONS)","(value, [])"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 4)","(_id, com.urbanairship.nameduser.PENDING_TAG_GROUP_MUTATIONS_KEY)","(value, [])"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 5)","(_id, com.urbanairship.push.PUSH_ENABLED)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 6)","(_id, com.urbanairship.push.PUSH_ENABLED_SETTINGS_MIGRATED)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 7)","(_id, com.urbanairship.push.PUSH_DELIVERY_TYPE)","(value, fcm)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 8)","(_id, com.urbanairship.iam.data.NEW_USER_TIME)","(value, 1621789922185)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 9)","(_id, com.urbanairship.application.device.LIBRARY_VERSION)","(value, 14.1.1)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 10)","(_id, com.urbanairship.DATA_COLLECTION_ENABLED)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 11)","(_id, com.urbanairship.push.USER_NOTIFICATIONS_ENABLED)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 12)","(_id, com.urbanairship.push.PUSH_TOKEN_REGISTRATION_ENABLED)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 13)","(_id, airshipComponent.enable_com.urbanairship.z.a)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 14)","(_id, airshipComponent.enable_com.urbanairship.automation.f)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 15)","(_id, airshipComponent.enable_com.urbanairship.f0.t)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 16)","(_id, airshipComponent.enable_com.urbanairship.c0.a)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 17)","(_id, airshipComponent.enable_com.urbanairship.c0.j)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 18)","(_id, airshipComponent.enable_com.urbanairship.messagecenter.g)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 19)","(_id, airshipComponent.enable_com.urbanairship.push.i)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 20)","(_id, com.urbanairship.remotedata.FOREGROUND_REFRESH_INTERVAL)","(value, 0)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 21)","(_id, com.urbanairship.push.REGISTRATION_TOKEN_KEY)","(value, coI3EiBMScOt_yOcrO39Iy:APA91bGtaOdORKAhpplD2QWFkjBD41ji3irNH91MS6h9HJA6rjhwAaopTcD-IigSwvmOoiQn5ahVh71WiQvuM1ciGV7-UAyfltidea46Wov75JDygBWp_BirWuSf2d2w9EUJScED17ay)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 22)","(_id, com.urbanairship.iam.tags.FETCH_ENABLED)","(value, true)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 23)","(_id, com.urbanairship.iam.tags.TAG_STALE_READ_TIME)","(value, 3600000)"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_preferences.db)","(TN, preferences)","(RL, 24)","(_id, com.urbanairship.iam.tags.TAG_PREFER_LOCAL_DATA_TIME)","(value, 600000)"
