PID,DN,DP,TN,RL,packageName,count
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 1)","(packageName, com.google.android.gms.icing.mdh)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 2)","(packageName, com.google.android.platform.twoshay_native)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 3)","(packageName, com.google.android.gms.trustlet_voiceunlock)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 4)","(packageName, com.google.android.platform.content_capture)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 5)","(packageName, com.google.android.platform.oslo)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 6)","(packageName, com.google.android.platform.input_native_boot)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 7)","(packageName, com.google.android.platform.connectivity_thermal_power_manager)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 8)","(packageName, com.google.android.gms.appstate)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 9)","(packageName, com.google.android.gms.reachability)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 10)","(packageName, com.google.android.gms.subscribedfeeds)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 11)","(packageName, com.google.android.gms.settings.platform.boot)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 12)","(packageName, com.google.android.gms.payse)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 13)","(packageName, com.google.android.platform.package_manager_service)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 14)","(packageName, com.google.android.platform.configuration)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 15)","(packageName, com.google.android.platform.permissions)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 16)","(packageName, com.google.android.platform.system_time)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 17)","(packageName, com.google.android.gms.appintegrity)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 18)","(packageName, com.google.android.gms.rcs)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 19)","(packageName, com.google.android.platform.swcodec_native)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 20)","(packageName, com.google.android.platform.runtime_native_boot)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 21)","(packageName, com.google.android.platform.display_manager)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 22)","(packageName, com.google.android.gms.recaptcha)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 23)","(packageName, com.google.android.platform.system_scheduler)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 24)","(packageName, com.google.android.gms.test_process_stable)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 25)","(packageName, com.google.android.platform.launcher)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 26)","(packageName, com.google.android.platform.window_manager)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 27)","(packageName, com.google.android.platform.flipendo)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 28)","(packageName, com.google.android.platform.activity_manager_native_boot)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 29)","(packageName, com.google.android.platform.rollback)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 30)","(packageName, com.google.android.platform.telephony)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 31)","(packageName, com.google.android.platform.rotation_resolver_service)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 32)","(packageName, com.google.android.gms.common.download)","(count, 2)"
"(PID, com.google.android.gms)","(DN, phenotype.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.gms/databases/phenotype.db)","(TN, ChangeCounts)","(RL, 33)","(packageName, com.google.android.platform.autofill)","(count, 2)"
