PID,DN,DP,TN,RL,id,state,worker_class_name,input_merger_class_name,input,output,initial_delay,interval_duration,flex_duration,run_attempt_count,backoff_policy,backoff_delay_duration,period_start_time,minimum_retention_duration,schedule_requested_at,run_in_foreground,required_network_type,requires_charging,requires_device_idle,requires_battery_not_low,requires_storage_not_low,trigger_content_update_delay,trigger_max_content_delay,content_uri_triggers
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 1)","(id, 8c72a1f5-e616-4db5-9141-43da243b6980)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcPAAAABAAJZXhlY190aW1lc3IADmphdmEubGFuZy5Mb25nO4vkkMyPI98CAAFKAAV2YWx1ZXhyABBqYXZhLmxhbmcuTnVtYmVyhqyVHQuU4IsCAAB4cAAAAAAA9HcCdwwACnNlc3Npb25faWR0ACRjNTI5MDQ2OS1jY2JjLTQ4ZmQtYjA3MC05MzZkYWY0MTllNmZ3DAAKd2F0Y2hfbmFtZXQAB0FwcEluaXR3CwAJZnVuY19uYW1ldAAYQmFzZUFwcGxpY2F0aW9uLm9uQ3JlYXRl)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626406917006)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626406917023)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 2)","(id, 55c6eb84-39bf-4b0c-bdb2-0c7bc0d6dd52)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcPAAAABAAJZXhlY190aW1lc3IADmphdmEubGFuZy5Mb25nO4vkkMyPI98CAAFKAAV2YWx1ZXhyABBqYXZhLmxhbmcuTnVtYmVyhqyVHQuU4IsCAAB4cAAAAAAE1Oe/dwwACnNlc3Npb25faWR0ACRjNTI5MDQ2OS1jY2JjLTQ4ZmQtYjA3MC05MzZkYWY0MTllNmZ3DAAKd2F0Y2hfbmFtZXQAB0FwcEluaXR3CwAJZnVuY19uYW1ldAAeTWFpbkFwcGxpY2F0aW9uLkJlZm9yZUluaXRUYXNr)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626406917079)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626406917086)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 3)","(id, 850ace93-c07e-4a26-9b53-037ec5be0442)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcPAAAABAAJZXhlY190aW1lc3IADmphdmEubGFuZy5Mb25nO4vkkMyPI98CAAFKAAV2YWx1ZXhyABBqYXZhLmxhbmcuTnVtYmVyhqyVHQuU4IsCAAB4cAAAAAAdYUIZdwwACnNlc3Npb25faWR0ACRjNTI5MDQ2OS1jY2JjLTQ4ZmQtYjA3MC05MzZkYWY0MTllNmZ3DAAKd2F0Y2hfbmFtZXQAB0FwcEluaXR3CwAJZnVuY19uYW1ldAAcQXBwSW5pdGlhbGl6ZXIuaW5pdEJlZm9yZU1NWA==)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626406917551)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626406917562)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 4)","(id, 51816772-a230-46f7-8315-7c83891f85de)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcPAAAABAAJZXhlY190aW1lc3IADmphdmEubGFuZy5Mb25nO4vkkMyPI98CAAFKAAV2YWx1ZXhyABBqYXZhLmxhbmcuTnVtYmVyhqyVHQuU4IsCAAB4cAAAAAAy1tTfdwwACnNlc3Npb25faWR0ACRjNTI5MDQ2OS1jY2JjLTQ4ZmQtYjA3MC05MzZkYWY0MTllNmZ3DAAKd2F0Y2hfbmFtZXQAB0FwcEluaXR3CwAJZnVuY19uYW1ldAAbQXBwSW5pdGlhbGl6ZXIuaW5pdEFmdGVyTU1Y)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626406918403)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626406918411)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 5)","(id, 064635ed-b3f4-40d7-8e0c-39a976106dac)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcPAAAABAAJZXhlY190aW1lc3IADmphdmEubGFuZy5Mb25nO4vkkMyPI98CAAFKAAV2YWx1ZXhyABBqYXZhLmxhbmcuTnVtYmVyhqyVHQuU4IsCAAB4cAAAAAAIres9dwwACnNlc3Npb25faWR0ACRjNTI5MDQ2OS1jY2JjLTQ4ZmQtYjA3MC05MzZkYWY0MTllNmZ3DAAKd2F0Y2hfbmFtZXQAB0FwcEluaXR3CwAJZnVuY19uYW1ldAAdTWFpbkFwcGxpY2F0aW9uLkFmdGVySW5pdFRhc2s=)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626406918549)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626406918554)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 6)","(id, 92c07ad2-fc63-4654-8ac4-cb24b38ce87f)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcPAAAABAAJZXhlY190aW1lc3IADmphdmEubGFuZy5Mb25nO4vkkMyPI98CAAFKAAV2YWx1ZXhyABBqYXZhLmxhbmcuTnVtYmVyhqyVHQuU4IsCAAB4cAAAAABer2D2dwwACnNlc3Npb25faWR0ACRjNTI5MDQ2OS1jY2JjLTQ4ZmQtYjA3MC05MzZkYWY0MTllNmZ3DAAKd2F0Y2hfbmFtZXQAB0FwcEluaXR3CwAJZnVuY19uYW1ldAAFVG90YWw=)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626406918572)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626406918578)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 7)","(id, 14dfc966-4a5a-4c6b-821d-5bb7c7adcd74)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcPAAAABAAJZXhlY190aW1lc3IADmphdmEubGFuZy5Mb25nO4vkkMyPI98CAAFKAAV2YWx1ZXhyABBqYXZhLmxhbmcuTnVtYmVyhqyVHQuU4IsCAAB4cAAAAAAASGCldwwACnNlc3Npb25faWR0ACQ1NDY5NDFkMS05MTY3LTQ0NjAtODg0Ni1jMzYyMTY5ZDk2Yzl3DAAKd2F0Y2hfbmFtZXQAB0FwcEluaXR3CwAJZnVuY19uYW1ldAAYQmFzZUFwcGxpY2F0aW9uLm9uQ3JlYXRl)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626498192342)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626498192370)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 8)","(id, c60fa03e-d08c-4111-9034-4be6735a501c)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcPAAAABAAJZXhlY190aW1lc3IADmphdmEubGFuZy5Mb25nO4vkkMyPI98CAAFKAAV2YWx1ZXhyABBqYXZhLmxhbmcuTnVtYmVyhqyVHQuU4IsCAAB4cAAAAAADR/EGdwwACnNlc3Npb25faWR0ACQ1NDY5NDFkMS05MTY3LTQ0NjAtODg0Ni1jMzYyMTY5ZDk2Yzl3DAAKd2F0Y2hfbmFtZXQAB0FwcEluaXR3CwAJZnVuY19uYW1ldAAeTWFpbkFwcGxpY2F0aW9uLkJlZm9yZUluaXRUYXNr)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626498192444)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626498192457)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 9)","(id, ec2924d8-68e8-47d6-a0c9-ce3076739089)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcPAAAABAAJZXhlY190aW1lc3IADmphdmEubGFuZy5Mb25nO4vkkMyPI98CAAFKAAV2YWx1ZXhyABBqYXZhLmxhbmcuTnVtYmVyhqyVHQuU4IsCAAB4cAAAAAASUK5UdwwACnNlc3Npb25faWR0ACQ1NDY5NDFkMS05MTY3LTQ0NjAtODg0Ni1jMzYyMTY5ZDk2Yzl3DAAKd2F0Y2hfbmFtZXQAB0FwcEluaXR3CwAJZnVuY19uYW1ldAAcQXBwSW5pdGlhbGl6ZXIuaW5pdEJlZm9yZU1NWA==)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626498192674)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626498192684)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)"
"(PID, com.microsoft.appmanager)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(TN, WorkSpec)","(RL, 10)","(id, b77cd439-38df-42cc-8b0a-9bd7a8dab3ac)","(state, 2)","(worker_class_name, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(input_merger_class_name, androidx.work.OverwritingInputMerger)","(input, rO0ABXcPAAAABAAJZXhlY190aW1lc3IADmphdmEubGFuZy5Mb25nO4vkkMyPI98CAAFKAAV2YWx1ZXhyABBqYXZhLmxhbmcuTnVtYmVyhqyVHQuU4IsCAAB4cAAAAAAhRDCndwwACnNlc3Npb25faWR0ACQ1NDY5NDFkMS05MTY3LTQ0NjAtODg0Ni1jMzYyMTY5ZDk2Yzl3DAAKd2F0Y2hfbmFtZXQAB0FwcEluaXR3CwAJZnVuY19uYW1ldAAbQXBwSW5pdGlhbGl6ZXIuaW5pdEFmdGVyTU1Y)","(output, rO0ABXcEAAAAAA==)","(initial_delay, 0)","(interval_duration, 0)","(flex_duration, 0)","(run_attempt_count, 1)","(backoff_policy, 0)","(backoff_delay_duration, 30000)","(period_start_time, 1626498193233)","(minimum_retention_duration, 0)","(schedule_requested_at, 1626498193296)","(run_in_foreground, 0)","(required_network_type, 1)","(requires_charging, 0)","(requires_device_idle, 0)","(requires_battery_not_low, 0)","(requires_storage_not_low, 0)","(trigger_content_update_delay, -1)","(trigger_max_content_delay, -1)","(content_uri_triggers, None)"
