PID,DN,DP,TN,RL,pack_id
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 1)","(pack_id, VaccinesForAll)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 2)","(pack_id, RamadanTogether)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 3)","(pack_id, WorldEarthDay)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 4)","(pack_id, Betakkuma2)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 5)","(pack_id, ABurdensomePigeonNamedEagle)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 6)","(pack_id, WomanCactus)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 7)","(pack_id, EggAndChup)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 8)","(pack_id, RealisticRabbit)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 9)","(pack_id, SquareCheesesDailyLife)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 10)","(pack_id, MothersDay)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 11)","(pack_id, ShareAsianLove)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 12)","(pack_id, LaughItOff)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 13)","(pack_id, PapaMerePapa)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 14)","(pack_id, LoveAndPride)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 15)","(pack_id, CelebrateTheGame)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 16)","(pack_id, SpaceJamStickers)"
"(PID, com.whatsapp)","(DN, stickers.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.whatsapp/databases/stickers.db)","(TN, new_sticker_packs)","(RL, 17)","(pack_id, ILoveEmojis)"
