Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,config,param,value,type,logging_id
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 1)","(config, __meta__)","(param, query_string)","(value, ls_waterfall_sampling:should_log_waterfall|ios_lightspeed_data_trace_config:append_trace_id_to_topic:message_send_trace_sample_rate:rich_media_download_sample_rate:rich_media_upload_sample_rate:securemessage_send_trace_sample_rate:sync_client_mode_enabled:sync_group_contact_enabled:sync_group_experiment_enabled:sync_group_mailbox_enabled:sync_group_securemailbox_enabled:sync_group_settings_enabled:sync_group_stories_enabled:task_client_mode_enabled:task_client_mode_tincan_act_enabled:task_label_10005_request_id_sample_rate:task_label_145_request_id_sample_rate:task_label_145_send_trace_sample_rate:task_label_20001_send_trace_sample_rate:task_label_209_request_id_sample_rate:task_label_209_send_trace_sample_rate:task_label_228_request_id_sample_rate:task_label_228_send_trace_sample_rate:task_label_255_send_trace_sample_rate:task_label_46_request_id_sample_rate:task_label_4_send_trace_sample_rate:trace_time_window_ms|msys_sync_config:background_sync_optimization_enabled:minimal_sync_interval:skip_sync_when_no_mqtt:skip_sync_when_no_network:skip_task_when_no_network|msys_tam_trace_config:enable_tam_armadillo_group_action_trace:enable_tam_armadillo_media_download:enable_tam_armadillo_media_receive:enable_tam_armadillo_media_send:enable_tam_armadillo_message_send:enable_tam_carrier_message_send:enable_tam_message_receive_trace:enable_tam_message_send_trace|msys_tam_contact_sync:enable_tam_contact_sync|)","(type, 5)","(logging_id, )"
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 2)","(config, __meta__)","(param, query_hash)","(value, 6f62bca4124c063555dd8be8843246188aedafdde703cb6362f7e320b9f2e989)","(type, 5)","(logging_id, )"
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 3)","(config, ls_waterfall_sampling)","(param, should_log_waterfall)","(value, 0)","(type, 1)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 4)","(config, ios_lightspeed_data_trace_config)","(param, append_trace_id_to_topic)",,"(type, 0)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 5)","(config, ios_lightspeed_data_trace_config)","(param, message_send_trace_sample_rate)",,"(type, 0)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 6)","(config, ios_lightspeed_data_trace_config)","(param, rich_media_download_sample_rate)",,"(type, 0)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 7)","(config, ios_lightspeed_data_trace_config)","(param, rich_media_upload_sample_rate)",,"(type, 0)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 8)","(config, ios_lightspeed_data_trace_config)","(param, securemessage_send_trace_sample_rate)",,"(type, 0)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 9)","(config, ios_lightspeed_data_trace_config)","(param, sync_client_mode_enabled)","(value, 0)","(type, 1)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 10)","(config, ios_lightspeed_data_trace_config)","(param, sync_group_contact_enabled)","(value, 0)","(type, 1)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 11)","(config, ios_lightspeed_data_trace_config)","(param, sync_group_experiment_enabled)","(value, 0)","(type, 1)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 12)","(config, ios_lightspeed_data_trace_config)","(param, sync_group_mailbox_enabled)","(value, 0)","(type, 1)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 13)","(config, ios_lightspeed_data_trace_config)","(param, sync_group_securemailbox_enabled)","(value, 0)","(type, 1)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 14)","(config, ios_lightspeed_data_trace_config)","(param, sync_group_settings_enabled)","(value, 0)","(type, 1)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 15)","(config, ios_lightspeed_data_trace_config)","(param, sync_group_stories_enabled)","(value, 0)","(type, 1)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 16)","(config, ios_lightspeed_data_trace_config)","(param, task_client_mode_enabled)","(value, 0)","(type, 1)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 17)","(config, ios_lightspeed_data_trace_config)","(param, task_client_mode_tincan_act_enabled)","(value, 0)","(type, 1)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 18)","(config, ios_lightspeed_data_trace_config)","(param, task_label_10005_request_id_sample_rate)",,"(type, 0)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 19)","(config, ios_lightspeed_data_trace_config)","(param, task_label_145_request_id_sample_rate)",,"(type, 0)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 20)","(config, ios_lightspeed_data_trace_config)","(param, task_label_145_send_trace_sample_rate)",,"(type, 0)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 21)","(config, ios_lightspeed_data_trace_config)","(param, task_label_20001_send_trace_sample_rate)",,"(type, 0)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 22)","(config, ios_lightspeed_data_trace_config)","(param, task_label_209_request_id_sample_rate)",,"(type, 0)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 23)","(config, ios_lightspeed_data_trace_config)","(param, task_label_209_send_trace_sample_rate)",,"(type, 0)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 24)","(config, ios_lightspeed_data_trace_config)","(param, task_label_228_request_id_sample_rate)",,"(type, 0)",
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, experiment_value)","(Line ID, 25)","(config, ios_lightspeed_data_trace_config)","(param, task_label_228_send_trace_sample_rate)",,"(type, 0)",
