Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,facet,version
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, instagram_upgrade_cql_schema_facets)","(Line ID, 1)","(facet, cql_schema_v0)","(version, -5532604887253201111)"
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, instagram_upgrade_cql_schema_facets)","(Line ID, 2)","(facet, cql_schema_v1)","(version, -1208996294041054184)"
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, instagram_upgrade_cql_schema_facets)","(Line ID, 3)","(facet, cql_schema_v2)","(version, 5137883949636525785)"
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, instagram_upgrade_cql_schema_facets)","(Line ID, 4)","(facet, cql_schema_v3)","(version, 2550553958006999245)"
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, instagram_upgrade_cql_schema_facets)","(Line ID, 5)","(facet, cql_schema_v4)","(version, 8842149100901181833)"
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, instagram_upgrade_cql_schema_facets)","(Line ID, 6)","(facet, cql_schema_v5)","(version, -1804335276624255121)"
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, instagram_upgrade_cql_schema_facets)","(Line ID, 7)","(facet, upgrade_message_sort_keys)","(version, 6)"
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, instagram_upgrade_cql_schema_facets)","(Line ID, 8)","(facet, cql_schema_v6)","(version, 8219660923314868796)"
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, instagram_upgrade_cql_schema_facets)","(Line ID, 9)","(facet, cql_schema_v7)","(version, -5121171203792844321)"
"(Package Name, com.instagram.android)","(Original Database Name, ig_msys_database_17847227186556794)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.instagram.android/databases/ig_msys_database_17847227186556794)","(Table Name, instagram_upgrade_cql_schema_facets)","(Line ID, 10)","(facet, cql_schema_v8)","(version, 2951406594418307869)"
