Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,_id,category_id,version,expiry_timestamp,last_update_timestamp,key,value,data_size_bytes
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 1)","(_id, 1)","(category_id, 1)","(version, 0)","(expiry_timestamp, 1628186832887)","(last_update_timestamp, 1626977232887)","(key, ntab)","(value, b'I\x1d\x13!\x81F""\xd7\x00\x03j\x04ntab\x12\x14X')","(data_size_bytes, 19)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 2)","(_id, 2)","(category_id, 1)","(version, 0)","(expiry_timestamp, 1628186832886)","(last_update_timestamp, 1626977232886)","(key, launcher)","(value, b'I\x1d\x13!\x81F""\xd7\x00\x03j\x08launcher\x12\x14X')","(data_size_bytes, 23)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 3)","(_id, 3)","(category_id, 1)","(version, 0)","(expiry_timestamp, 1628186832891)","(last_update_timestamp, 1626977232891)","(key, dm_tab)","(value, b'I\x1d\x13!\x81F""\xd7\x00\x03j\x06dm_tab\x11X')","(data_size_bytes, 20)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 4)","(_id, 120)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210279)","(last_update_timestamp, 1620249210279)","(key, 1380747846928896000)","(value, b'I1\t\x08\x02j\x131380948780253183980X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 5)","(_id, 121)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210283)","(last_update_timestamp, 1620249210283)","(key, 1380745280975425536)","(value, b'I1\t\x08\x02j\x131380948780253183979X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 6)","(_id, 122)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210281)","(last_update_timestamp, 1620249210281)","(key, 1380744580706959364)","(value, b'I1\t\x08\x02j\x131380948780253183979X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 7)","(_id, 123)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210278)","(last_update_timestamp, 1620249210278)","(key, 1366532604812357638)","(value, b'I1\t\x08\x02j\x131380948780253183978X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 8)","(_id, 132)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210285)","(last_update_timestamp, 1620249210285)","(key, 1380523522762625025)","(value, b'I1\t\x08\x02j\x131380948780253183972X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 9)","(_id, 133)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210280)","(last_update_timestamp, 1620249210280)","(key, 1380654243334475777)","(value, b'I1\t\x08\x02j\x131380948780253183972X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 10)","(_id, 134)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210283)","(last_update_timestamp, 1620249210283)","(key, 1380612020496662528)","(value, b'I1\t\x08\x02j\x131380948780253183973X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 11)","(_id, 135)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210282)","(last_update_timestamp, 1620249210282)","(key, 1380668198115110912)","(value, b'I1\t\x08\x02j\x131380948780253183972X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 12)","(_id, 136)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210283)","(last_update_timestamp, 1620249210283)","(key, 1380701480445939720)","(value, b'I1\t\x08\x02j\x131380948780253183972X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 13)","(_id, 137)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1629043412528)","(last_update_timestamp, 1621267412528)","(key, 1382918795790979072)","(value, b'I1\t\x08\x02j\x131383093886854889472X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 14)","(_id, 138)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1629043412527)","(last_update_timestamp, 1621267412527)","(key, 1356103976463155201)","(value, b'I1\t\x08\x02j\x131383093886854889471X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 15)","(_id, 139)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1629043412528)","(last_update_timestamp, 1621267412528)","(key, 1383064490044923910)","(value, b'I1\t\x08\x02j\x131383093886854889470X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 16)","(_id, 150)","(category_id, 5)","(version, 0)","(expiry_timestamp, 1629043387554)","(last_update_timestamp, 1621267387554)","(key, 1394121773805834240)","(value, b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137829250263048941567X')","(data_size_bytes, 34)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 17)","(_id, 151)","(category_id, 6)","(version, 0)","(expiry_timestamp, 1629043387557)","(last_update_timestamp, 1621267387557)","(key, 1394121773805834240)","(value, b'1')","(data_size_bytes, 1)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 18)","(_id, 152)","(category_id, 5)","(version, 0)","(expiry_timestamp, 1629043406614)","(last_update_timestamp, 1621267406614)","(key, 1394160673437978626)","(value, b'I0\t\x08\x02j\x137829250263048941557X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 19)","(_id, 153)","(category_id, 6)","(version, 0)","(expiry_timestamp, 1629043406618)","(last_update_timestamp, 1621267406618)","(key, 1394160673437978626)","(value, b'1')","(data_size_bytes, 1)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 20)","(_id, 154)","(category_id, 5)","(version, 0)","(expiry_timestamp, 1629043410270)","(last_update_timestamp, 1621267410270)","(key, 1394187960199880706)","(value, b'I0\t\x08\x02j\x137829250263048941547X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 21)","(_id, 155)","(category_id, 5)","(version, 0)","(expiry_timestamp, 1629043410273)","(last_update_timestamp, 1621267410273)","(key, 1394125639775670274)","(value, b'I0\t\x08\x02j\x137829250263048941537X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 22)","(_id, 156)","(category_id, 5)","(version, 0)","(expiry_timestamp, 1629043410278)","(last_update_timestamp, 1621267410278)","(key, 1394124433774714882)","(value, b'I0\t\x08\x02j\x137829250263048941527X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 23)","(_id, 157)","(category_id, 6)","(version, 0)","(expiry_timestamp, 1629043410279)","(last_update_timestamp, 1621267410279)","(key, 1394187960199880706)","(value, b'1')","(data_size_bytes, 1)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 24)","(_id, 158)","(category_id, 6)","(version, 0)","(expiry_timestamp, 1629043410282)","(last_update_timestamp, 1621267410282)","(key, 1394125639775670274)","(value, b'1')","(data_size_bytes, 1)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 25)","(_id, 159)","(category_id, 6)","(version, 0)","(expiry_timestamp, 1629043410286)","(last_update_timestamp, 1621267410286)","(key, 1394124433774714882)","(value, b'1')","(data_size_bytes, 1)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 26)","(_id, 161)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1629822613894)","(last_update_timestamp, 1622046613894)","(key, 1394164621687197698)","(value, b'I1\t\x08\x02j\x131394322696401059839X')","(data_size_bytes, 27)"
"(Package Name, com.twitter.android)","(Original Database Name, 1378525099184291843-lru_key_value.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(Table Name, lru_key_value_table)","(Line ID, 27)","(_id, 162)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1629822613901)","(last_update_timestamp, 1622046613901)","(key, 1393204954945314820)","(value, b'I1\t\x08\x02j\x131394322696401059838X')","(data_size_bytes, 27)"
