PID,DN,DP,TN,RL,tag,work_spec_id
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 1)","(tag, AppConfigurationWorker)","(work_spec_id, e3080d0b-777f-497b-a4dc-3b5cfe5bd28e)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 2)","(tag, com.duckduckgo.app.global.job.AppConfigurationWorker)","(work_spec_id, e3080d0b-777f-497b-a4dc-3b5cfe5bd28e)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 3)","(tag, com.duckduckgo.statistics.offlinepixels.schedule)","(work_spec_id, 98829eea-d9ae-49e1-8523-665ddfef3a6a)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 4)","(tag, com.duckduckgo.app.statistics.api.OfflinePixelScheduler$OfflinePixelWorker)","(work_spec_id, 98829eea-d9ae-49e1-8523-665ddfef3a6a)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 5)","(tag, com.duckduckgo.statistics.offlinepixels.schedule)","(work_spec_id, a18e76e0-955a-4310-8213-2c79dea0afe4)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 6)","(tag, com.duckduckgo.app.statistics.api.OfflinePixelScheduler$OfflinePixelWorker)","(work_spec_id, a18e76e0-955a-4310-8213-2c79dea0afe4)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 7)","(tag, com.duckduckgo.statistics.offlinepixels.schedule)","(work_spec_id, 2933fd26-5dfd-448d-8445-9edcf3d31f9a)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 8)","(tag, com.duckduckgo.app.statistics.api.OfflinePixelScheduler$OfflinePixelWorker)","(work_spec_id, 2933fd26-5dfd-448d-8445-9edcf3d31f9a)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 9)","(tag, com.duckduckgo.statistics.offlinepixels.schedule)","(work_spec_id, e0429cac-82e3-4381-ae9b-3e8658173ded)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 10)","(tag, com.duckduckgo.app.statistics.api.OfflinePixelScheduler$OfflinePixelWorker)","(work_spec_id, e0429cac-82e3-4381-ae9b-3e8658173ded)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 11)","(tag, com.duckduckgo.statistics.offlinepixels.schedule)","(work_spec_id, 899f6736-b796-4731-b5c0-9b9c4619f380)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 12)","(tag, com.duckduckgo.app.statistics.api.OfflinePixelScheduler$OfflinePixelWorker)","(work_spec_id, 899f6736-b796-4731-b5c0-9b9c4619f380)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 13)","(tag, com.duckduckgo.statistics.offlinepixels.schedule)","(work_spec_id, 81885928-79b6-4622-b93a-36626b230b4e)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 14)","(tag, com.duckduckgo.app.statistics.api.OfflinePixelScheduler$OfflinePixelWorker)","(work_spec_id, 81885928-79b6-4622-b93a-36626b230b4e)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 15)","(tag, com.duckduckgo.statistics.offlinepixels.schedule)","(work_spec_id, 7046f7bd-a1b9-4d16-b56d-8c5ebf8353ff)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 16)","(tag, com.duckduckgo.app.statistics.api.OfflinePixelScheduler$OfflinePixelWorker)","(work_spec_id, 7046f7bd-a1b9-4d16-b56d-8c5ebf8353ff)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 17)","(tag, com.duckduckgo.statistics.offlinepixels.schedule)","(work_spec_id, b453d6b4-652a-485d-a634-0fbcba9cbf94)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 18)","(tag, com.duckduckgo.app.statistics.api.OfflinePixelScheduler$OfflinePixelWorker)","(work_spec_id, b453d6b4-652a-485d-a634-0fbcba9cbf94)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 19)","(tag, com.duckduckgo.statistics.offlinepixels.schedule)","(work_spec_id, 4aa3b864-8b7d-4848-9be4-a1846116eecf)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 20)","(tag, com.duckduckgo.app.statistics.api.OfflinePixelScheduler$OfflinePixelWorker)","(work_spec_id, 4aa3b864-8b7d-4848-9be4-a1846116eecf)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 21)","(tag, com.duckduckgo.statistics.offlinepixels.schedule)","(work_spec_id, 0f0e2e02-9aa8-4873-802d-cee8676d0530)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 22)","(tag, com.duckduckgo.app.statistics.api.OfflinePixelScheduler$OfflinePixelWorker)","(work_spec_id, 0f0e2e02-9aa8-4873-802d-cee8676d0530)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 23)","(tag, com.duckduckgo.statistics.offlinepixels.schedule)","(work_spec_id, 9b55d97d-b12a-4f2e-928f-76f1d4d4bab3)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 24)","(tag, com.duckduckgo.app.statistics.api.OfflinePixelScheduler$OfflinePixelWorker)","(work_spec_id, 9b55d97d-b12a-4f2e-928f-76f1d4d4bab3)"
"(PID, com.duckduckgo.mobile.android)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/no_backup/androidx.work.workdb)","(TN, WorkTag)","(RL, 25)","(tag, com.duckduckgo.statistics.offlinepixels.schedule)","(work_spec_id, a7fcfd35-587c-4172-93a0-226fc4952a79)"
