PID,DN,DP,TN,RL,download_id,key,value
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 1)","(download_id, 364)","(key, update_id)","(value, 65)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 2)","(download_id, 364)","(key, private_state_catalyst_download)","(value, false)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 3)","(download_id, 365)","(key, update_id)","(value, 66)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 4)","(download_id, 365)","(key, private_state_catalyst_download)","(value, false)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 5)","(download_id, 365)","(key, multifile_download_id)","(value, 365)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 6)","(download_id, 366)","(key, update_id)","(value, 66)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 7)","(download_id, 366)","(key, multifile_download_id)","(value, 365)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 8)","(download_id, 366)","(key, module_id)","(value, 232)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 9)","(download_id, 366)","(key, private_state_catalyst_download)","(value, false)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 10)","(download_id, 367)","(key, update_id)","(value, 66)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 11)","(download_id, 367)","(key, multifile_download_id)","(value, 365)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 12)","(download_id, 367)","(key, module_id)","(value, 233)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 13)","(download_id, 367)","(key, private_state_catalyst_download)","(value, false)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 14)","(download_id, 368)","(key, update_id)","(value, 66)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 15)","(download_id, 368)","(key, multifile_download_id)","(value, 365)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 16)","(download_id, 368)","(key, module_id)","(value, 234)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 17)","(download_id, 368)","(key, private_state_catalyst_download)","(value, false)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 18)","(download_id, 369)","(key, update_id)","(value, 66)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 19)","(download_id, 369)","(key, multifile_download_id)","(value, 365)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 20)","(download_id, 369)","(key, module_id)","(value, 235)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 21)","(download_id, 369)","(key, private_state_catalyst_download)","(value, false)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 22)","(download_id, 370)","(key, update_id)","(value, 66)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 23)","(download_id, 370)","(key, multifile_download_id)","(value, 365)"
"(PID, com.facebook.appmanager)","(DN, file_downloader)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/file_downloader)","(TN, download_extras)","(RL, 24)","(download_id, 370)","(key, module_id)","(value, 236)"
