PID,DN,DP,TN,RL,name,work_spec_id
"(PID, com.google.android.youtube)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.youtube/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 1)","(name, device_context_task)","(work_spec_id, 516ea9a5-c5ee-46ba-af9b-c98bb318434a)"
"(PID, com.google.android.youtube)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.youtube/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 2)","(name, offline_settings_fetch)","(work_spec_id, 95b65571-1d92-4e8d-81e1-56d392dd7f0a)"
"(PID, com.google.android.youtube)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.youtube/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 3)","(name, offline_library_browse_fetch)","(work_spec_id, 9e0e184e-973b-41f2-83b6-9c5a2c41d458)"
"(PID, com.google.android.youtube)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.youtube/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 4)","(name, notification_registration_task)","(work_spec_id, 4ee6d7be-2004-4b35-96b4-9e25af501d60)"
"(PID, com.google.android.youtube)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.youtube/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 5)","(name, mdx_background_scanner)","(work_spec_id, ba79c891-1c1d-4e01-a077-1e166db30a47)"
"(PID, com.google.android.youtube)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.youtube/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 6)","(name, delayed_event_dispatch_dispatch_to_empty_tier_one_off_task)","(work_spec_id, 50e6e2f7-42e6-4050-9529-b9d5545d0e5b)"
"(PID, com.google.android.youtube)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.youtube/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 7)","(name, ping_flush_one_off)","(work_spec_id, a685ef4d-4991-4da1-a4d9-0c97ffc81d71)"
"(PID, com.google.android.youtube)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.youtube/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 8)","(name, offline_r)","(work_spec_id, 34c90919-0f95-4cd1-ae13-f9c2e2f74056)"
"(PID, com.google.android.youtube)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.youtube/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 9)","(name, innertube_config_fetch_charging)","(work_spec_id, 300ae755-a8b8-4743-9a31-9ce40739f0bd)"
"(PID, com.google.android.youtube)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.youtube/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 10)","(name, innertube_config_fetch)","(work_spec_id, 2a80b4c2-39d0-44c1-baf3-96bf8792178a)"
"(PID, com.google.android.youtube)","(DN, androidx.work.workdb)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.youtube/no_backup/androidx.work.workdb)","(TN, WorkName)","(RL, 11)","(name, delayed_event_dispatch_default_tier_one_off_task)","(work_spec_id, 434377c9-d3c2-4dcf-a44d-60fedf495f36)"
