PID,DN,DP,TN,RL,_id,key,seenMajorUpdateMajorVersion,seenMajorUpdateMinorVersion,seenScoreSharingAlert,acceptedContentAlert,acceptedLeaderboardAlert,hasOpenedApp,acceptedLeaderboardGameAlert
"(PID, com.snapchat.android)","(DN, cognac)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/cognac)","(TN, AppLocalState)","(RL, 1)","(_id, 1)","(key, 6a2cc5b3-3d6f-4845-b745-1c5f802fd59e)","(seenMajorUpdateMajorVersion, None)","(seenMajorUpdateMinorVersion, None)","(seenScoreSharingAlert, 0)","(acceptedContentAlert, 0)","(acceptedLeaderboardAlert, 0)","(hasOpenedApp, 0)","(acceptedLeaderboardGameAlert, 0)"
"(PID, com.snapchat.android)","(DN, cognac)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/cognac)","(TN, AppLocalState)","(RL, 2)","(_id, 2)","(key, e5c7c3bd-06a0-47c1-be04-d86c6fc35386)","(seenMajorUpdateMajorVersion, None)","(seenMajorUpdateMinorVersion, None)","(seenScoreSharingAlert, 0)","(acceptedContentAlert, 0)","(acceptedLeaderboardAlert, 0)","(hasOpenedApp, 0)","(acceptedLeaderboardGameAlert, 0)"
"(PID, com.snapchat.android)","(DN, cognac)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/cognac)","(TN, AppLocalState)","(RL, 3)","(_id, 3)","(key, 2dc73007-5642-424c-9c29-af550377510b)","(seenMajorUpdateMajorVersion, None)","(seenMajorUpdateMinorVersion, None)","(seenScoreSharingAlert, 0)","(acceptedContentAlert, 0)","(acceptedLeaderboardAlert, 0)","(hasOpenedApp, 0)","(acceptedLeaderboardGameAlert, 0)"
"(PID, com.snapchat.android)","(DN, cognac)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/cognac)","(TN, AppLocalState)","(RL, 4)","(_id, 4)","(key, 090e2f4d-dc4c-473c-b961-9d3559a5a444)","(seenMajorUpdateMajorVersion, None)","(seenMajorUpdateMinorVersion, None)","(seenScoreSharingAlert, 0)","(acceptedContentAlert, 0)","(acceptedLeaderboardAlert, 0)","(hasOpenedApp, 0)","(acceptedLeaderboardGameAlert, 0)"
"(PID, com.snapchat.android)","(DN, cognac)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/cognac)","(TN, AppLocalState)","(RL, 5)","(_id, 5)","(key, ceb49f5e-d7b2-4c7b-ab94-ae69d4c2779a)","(seenMajorUpdateMajorVersion, None)","(seenMajorUpdateMinorVersion, None)","(seenScoreSharingAlert, 0)","(acceptedContentAlert, 0)","(acceptedLeaderboardAlert, 0)","(hasOpenedApp, 0)","(acceptedLeaderboardGameAlert, 0)"
"(PID, com.snapchat.android)","(DN, cognac)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/cognac)","(TN, AppLocalState)","(RL, 6)","(_id, 6)","(key, 4606e9ed-a232-4015-80be-be7a90a77a34)","(seenMajorUpdateMajorVersion, None)","(seenMajorUpdateMinorVersion, None)","(seenScoreSharingAlert, 0)","(acceptedContentAlert, 0)","(acceptedLeaderboardAlert, 0)","(hasOpenedApp, 0)","(acceptedLeaderboardGameAlert, 0)"
"(PID, com.snapchat.android)","(DN, cognac)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/cognac)","(TN, AppLocalState)","(RL, 7)","(_id, 7)","(key, a4cbdb1c-f680-4ff2-a33a-c380196b83d6)","(seenMajorUpdateMajorVersion, None)","(seenMajorUpdateMinorVersion, None)","(seenScoreSharingAlert, 0)","(acceptedContentAlert, 0)","(acceptedLeaderboardAlert, 0)","(hasOpenedApp, 0)","(acceptedLeaderboardGameAlert, 0)"
"(PID, com.snapchat.android)","(DN, cognac)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/cognac)","(TN, AppLocalState)","(RL, 8)","(_id, 8)","(key, ef224247-447d-4233-8e92-83a7b7b6557e)","(seenMajorUpdateMajorVersion, None)","(seenMajorUpdateMinorVersion, None)","(seenScoreSharingAlert, 0)","(acceptedContentAlert, 0)","(acceptedLeaderboardAlert, 0)","(hasOpenedApp, 0)","(acceptedLeaderboardGameAlert, 0)"
"(PID, com.snapchat.android)","(DN, cognac)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/cognac)","(TN, AppLocalState)","(RL, 9)","(_id, 9)","(key, ef2cb0a1-0b51-41e2-8046-3a3ee49f7194)","(seenMajorUpdateMajorVersion, None)","(seenMajorUpdateMinorVersion, None)","(seenScoreSharingAlert, 0)","(acceptedContentAlert, 0)","(acceptedLeaderboardAlert, 0)","(hasOpenedApp, 0)","(acceptedLeaderboardGameAlert, 0)"
"(PID, com.snapchat.android)","(DN, cognac)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.snapchat.android/databases/cognac)","(TN, AppLocalState)","(RL, 10)","(_id, 10)","(key, e700e7e1-b2d7-47ec-87a5-7d6ef945b110)","(seenMajorUpdateMajorVersion, None)","(seenMajorUpdateMinorVersion, None)","(seenScoreSharingAlert, 0)","(acceptedContentAlert, 0)","(acceptedLeaderboardAlert, 0)","(hasOpenedApp, 0)","(acceptedLeaderboardGameAlert, 0)"
