PID,DN,DP,TN,RL,id,page_url,icon_id
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, icon_mapping)","(RL, 1)","(id, 7)","(page_url, https://www.google.com/m?client=ms-android-samsung-gn-rev1&source=android-home)","(icon_id, 3)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, icon_mapping)","(RL, 2)","(id, 15)","(page_url, https://www.google.com/search?q=raines&oq=raines&aqs=chrome..69i57j46j0l2j46.3151j0j4&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8)","(icon_id, 3)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, icon_mapping)","(RL, 3)","(id, 17)","(page_url, https://www.google.com/search?q=raines+property+management&client=ms-android-samsung-gn-rev1&ei=1YtqYPbZFMWm_QbhyKLAAw&oq=raines+p&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAEYADICCAAyCAguEMcBEK8BMggILhDHARCvATIICC4QxwEQrwEyAggAMgIIADIICC4QxwEQrwEyCAguEMcBEK8BOgQIABBHOgcILhBDEJMCOgQIABBDUP0oWOksYOYzaABwAXgAgAGqAYgBzwKSAQMwLjKYAQCgAQHIAQjAAQE&sclient=mobile-gws-wiz-serp)","(icon_id, 3)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, icon_mapping)","(RL, 4)","(id, 18)","(page_url, https://www.google.com/search?q=raines+property+management&client=ms-android-samsung-gn-rev1&ei=1YtqYPbZFMWm_QbhyKLAAw&oq=raines+p&gs_lcp=ChNtb2JpbGUtZ3dzLXdpei1zZXJwEAEYADICCAAyCAguEMcBEK8BMggILhDHARCvATIICC4QxwEQrwEyAggAMgIIADIICC4QxwEQrwEyCAguEMcBEK8BOgQIABBHOgcILhBDEJMCOgQIABBDUP0oWOksYOYzaABwAXgAgAGqAYgBzwKSAQMwLjKYAQCgAQHIAQjAAQE&sclient=mobile-gws-wiz-serp#trex=m_t:lcl_akp,rc_f:rln,rc_ludocids:697457946110376187,ru_lqi:ChpyYWluZXMgcHJvcGVydHkgbWFuYWdlbWVudEj-uIDO5YCAgAhaRAoacmFpbmVzIHByb3BlcnR5IG1hbmFnZW1lbnQQABABEAIYABgBGAIiGnJhaW5lcyBwcm9wZXJ0eSBtYW5hZ2VtZW50kgEXYXBhcnRtZW50X3JlbnRhbF9hZ2VuY3k,trex_id:lUsVr)","(icon_id, 3)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, icon_mapping)","(RL, 5)","(id, 23)","(page_url, https://www.google.com/search?q=properties+for+rent+near+me&oq=properties+for+rent+&aqs=chrome.1.69i57j0l4.11105j0j4&client=ms-android-samsung-gn-rev1&sourceid=chrome-mobile&ie=UTF-8)","(icon_id, 3)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, icon_mapping)","(RL, 6)","(id, 24)","(page_url, https://www.rent.com/massachusetts/boston-houses)","(icon_id, 9)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, icon_mapping)","(RL, 7)","(id, 25)","(page_url, https://www.rent.com/zip-24060-houses)","(icon_id, 9)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, icon_mapping)","(RL, 8)","(id, 26)","(page_url, https://www.rent.com/massachusetts/boston-houses)","(icon_id, 10)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, icon_mapping)","(RL, 9)","(id, 27)","(page_url, https://www.rent.com/zip-24060-houses)","(icon_id, 10)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, icon_mapping)","(RL, 10)","(id, 36)","(page_url, https://www.rent.com/zip-24060-houses?page=2)","(icon_id, 10)"
