PID,DN,DP,TN,RL,id,url,icon_type
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 1)","(id, 3)","(url, https://www.google.com/images/branding/product/1x/gsa_android_144dp.png)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 2)","(id, 9)","(url, https://www.rent.com/apple-touch-icon.png)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 3)","(id, 10)","(url, https://www.rent.com/favicon-32x32.png)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 4)","(id, 11)","(url, https://www.mintahoe.com/wp-content/uploads/2017/02/cropped-2017_mintahoe_favicon-180x180.png)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 5)","(id, 12)","(url, https://www.mintahoe.com/wp-content/uploads/2017/02/cropped-2017_mintahoe_favicon-192x192.png)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 6)","(id, 13)","(url, https://www.t-mobile.com/favicon.ico)","(icon_type, 1)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 7)","(id, 14)","(url, https://static.xx.fbcdn.net/rsrc.php/v3/ya/r/O2aKM2iSbOw.png)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 8)","(id, 15)","(url, https://images-na.ssl-images-amazon.com/images/G/01/anywhere/a_smile_196x196._CB368246573_.png)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 9)","(id, 16)","(url, https://m.youtube.com/yts/mobile/img/apple-touch-icon-144x144-precomposed-vflopw1IA.png)","(icon_type, 2)"
"(PID, com.android.chrome)","(DN, Favicons)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.android.chrome/app_chrome/Default/Favicons)","(TN, favicons)","(RL, 10)","(id, 17)","(url, http://a.espncdn.com/wireless/mw5/r1/images/bookmark-icons/espn_icon-152x152.min.png)","(icon_type, 2)"
