Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,tag,work_spec_id
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkTag)","(Line ID, 1)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 8c72a1f5-e616-4db5-9141-43da243b6980)"
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkTag)","(Line ID, 2)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 55c6eb84-39bf-4b0c-bdb2-0c7bc0d6dd52)"
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkTag)","(Line ID, 3)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 850ace93-c07e-4a26-9b53-037ec5be0442)"
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkTag)","(Line ID, 4)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 51816772-a230-46f7-8315-7c83891f85de)"
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkTag)","(Line ID, 5)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 064635ed-b3f4-40d7-8e0c-39a976106dac)"
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkTag)","(Line ID, 6)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 92c07ad2-fc63-4654-8ac4-cb24b38ce87f)"
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkTag)","(Line ID, 7)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, 14dfc966-4a5a-4c6b-821d-5bb7c7adcd74)"
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkTag)","(Line ID, 8)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, c60fa03e-d08c-4111-9034-4be6735a501c)"
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkTag)","(Line ID, 9)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, ec2924d8-68e8-47d6-a0c9-ce3076739089)"
"(Package Name, com.microsoft.appmanager)","(Original Database Name, androidx.work.workdb)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.microsoft.appmanager/no_backup/androidx.work.workdb)","(Table Name, WorkTag)","(Line ID, 10)","(tag, com.microsoft.appmanager.telemetry.PerfStopWatch$UploadWorker)","(work_spec_id, b77cd439-38df-42cc-8b0a-9bd7a8dab3ac)"
