PID,DN,DP,TN,RL,key,type,value
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 1)","(key, /tosacceptance/reason)","(type, 1)","(value, EXPLICIT_COMPONENT_STATE)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 2)","(key, /zero_rating2/clearable/current_zero_rating_status)","(type, 1)","(value, disabled)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 3)","(key, /config/offlineexperiment/exposed/msgr_sso_login_profile_pic_holdout/100065791655767)","(type, 2)","(value, 1)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 4)","(key, /settings/analyticsmetainf_fbmeta)","(type, 1)","(value, NO_FILE)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 5)","(key, /config/path_provider/eviction.v2/383861885)","(type, 1)","(value, {""size_config"":{""max_size"":20971520,""max_size_low_space_bytes"":20971520,""max_size_very_low_space_bytes"":20971520,""delete_only_on_init"":false},""staleness_config"":{""stale_age_s"":5184000},""eviction_type"":""stash"",""cache_name"":""ras_blobs"",""feature_name"":""ras_blobs"",""path"":""\/data\/user\/0\/com.facebook.orca\/app_ras_blobs""})"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 6)","(key, /reached_neue_activity/)","(type, 2)","(value, 0)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 7)","(key, /settings/data_analyticstotal_bytes_received_background)","(type, 4)","(value, 0)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 8)","(key, /shared/device_id)","(type, 1)","(value, 2d7729db-7555-4066-893c-2b5eb3e26824)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 9)","(key, /config/path_provider/eviction.v2/-1725531165)","(type, 1)","(value, {""size_config"":{""max_size"":10485760,""max_size_low_space_bytes"":10485760,""max_size_very_low_space_bytes"":10485760,""delete_only_on_init"":false},""staleness_config"":{""stale_age_s"":604800},""eviction_type"":""stash"",""cache_name"":""graph_service_cache"",""feature_name"":""graph_service_cache"",""path"":""\/data\/user\/0\/com.facebook.orca\/app_graph_service_cache\/__out_of_scope__""})"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 10)","(key, /unified_account_login/app_state_for_login_form)","(type, 1)","(value, cold_start)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 11)","(key, /config/offlineexperiment/values/msgr_sso_auto_login_holdout/100065791655767)","(type, 3)","(value, 502)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 12)","(key, /config/neue/logged_platform_event/app_install)","(type, 2)","(value, 1)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 13)","(key, /settings/data_analyticstotal_bytes_received_foreground)","(type, 4)","(value, 0)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 14)","(key, /config/image_pipeline_mc_providerbitmap_max_size_percent)","(type, 6)","(value, 0.5)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 15)","(key, /installreferrer/referrer_processed)","(type, 2)","(value, 1)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 16)","(key, /settings/data_analyticstotal_bytes_sent_background)","(type, 4)","(value, 0)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 17)","(key, /config/image_pipeline_mc_providerprepare_to_draw_enabled)","(type, 2)","(value, 1)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 18)","(key, /config/offlineexperiment/values/msgr_login_sso_uid_holdout_v2/100065791655767)","(type, 3)","(value, 6905)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 19)","(key, /messenger/page_reply_first_time_init)","(type, 2)","(value, 1)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 20)","(key, /settings/analyticsdevice_info_oldest_known_installer)","(type, 1)","(value, com.android.vending)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 21)","(key, /messenger/nux_completed)","(type, 2)","(value, 0)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 22)","(key, /zero_rating2/clearable/zero_unknown_state)","(type, 2)","(value, 1)"
"(PID, com.facebook.orca)","(DN, prefs_db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(TN, preferences)","(RL, 23)","(key, /tosacceptance/send_tos_accept)","(type, 3)","(value, 5)"
