PID,DN,DP,TN,RL,_id,category_id,version,expiry_timestamp,last_update_timestamp,key,value,data_size_bytes
"(PID, com.twitter.android)","(DN, 1378525099184291843-lru_key_value.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(TN, lru_key_value_table)","(RL, 1)","(_id, 1)","(category_id, 1)","(version, 0)","(expiry_timestamp, 1628186832887)","(last_update_timestamp, 1626977232887)","(key, ntab)","(value, SR0TIYFGItcAA2oEbnRhYhIUWA==)","(data_size_bytes, 19)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-lru_key_value.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(TN, lru_key_value_table)","(RL, 2)","(_id, 2)","(category_id, 1)","(version, 0)","(expiry_timestamp, 1628186832886)","(last_update_timestamp, 1626977232886)","(key, launcher)","(value, SR0TIYFGItcAA2oIbGF1bmNoZXISFFg=)","(data_size_bytes, 23)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-lru_key_value.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(TN, lru_key_value_table)","(RL, 3)","(_id, 3)","(category_id, 1)","(version, 0)","(expiry_timestamp, 1628186832891)","(last_update_timestamp, 1626977232891)","(key, dm_tab)","(value, SR0TIYFGItcAA2oGZG1fdGFiEVg=)","(data_size_bytes, 20)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-lru_key_value.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(TN, lru_key_value_table)","(RL, 4)","(_id, 120)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210279)","(last_update_timestamp, 1620249210279)","(key, 1380747846928896000)","(value, STEJCAJqEzEzODA5NDg3ODAyNTMxODM5ODBY)","(data_size_bytes, 27)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-lru_key_value.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(TN, lru_key_value_table)","(RL, 5)","(_id, 121)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210283)","(last_update_timestamp, 1620249210283)","(key, 1380745280975425536)","(value, STEJCAJqEzEzODA5NDg3ODAyNTMxODM5NzlY)","(data_size_bytes, 27)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-lru_key_value.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(TN, lru_key_value_table)","(RL, 6)","(_id, 122)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210281)","(last_update_timestamp, 1620249210281)","(key, 1380744580706959364)","(value, STEJCAJqEzEzODA5NDg3ODAyNTMxODM5NzlY)","(data_size_bytes, 27)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-lru_key_value.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(TN, lru_key_value_table)","(RL, 7)","(_id, 123)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210278)","(last_update_timestamp, 1620249210278)","(key, 1366532604812357638)","(value, STEJCAJqEzEzODA5NDg3ODAyNTMxODM5NzhY)","(data_size_bytes, 27)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-lru_key_value.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(TN, lru_key_value_table)","(RL, 8)","(_id, 132)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210285)","(last_update_timestamp, 1620249210285)","(key, 1380523522762625025)","(value, STEJCAJqEzEzODA5NDg3ODAyNTMxODM5NzJY)","(data_size_bytes, 27)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-lru_key_value.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(TN, lru_key_value_table)","(RL, 9)","(_id, 133)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210280)","(last_update_timestamp, 1620249210280)","(key, 1380654243334475777)","(value, STEJCAJqEzEzODA5NDg3ODAyNTMxODM5NzJY)","(data_size_bytes, 27)"
"(PID, com.twitter.android)","(DN, 1378525099184291843-lru_key_value.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.twitter.android/databases/1378525099184291843-lru_key_value.db)","(TN, lru_key_value_table)","(RL, 10)","(_id, 134)","(category_id, 2)","(version, 0)","(expiry_timestamp, 1628025210283)","(last_update_timestamp, 1620249210283)","(key, 1380612020496662528)","(value, STEJCAJqEzEzODA5NDg3ODAyNTMxODM5NzNY)","(data_size_bytes, 27)"
