PID,DN,DP,TN,RL,_id,item_type,intVal,realVal,booleanVal,textVal,blobVal,row_version,pw_status,last_updated_time
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(TN, SnapchatUserProperties)","(RL, 1)","(_id, 45)","(item_type, 5)","(intVal, None)","(realVal, None)","(booleanVal, 1)","(textVal, None)","(blobVal, None)","(row_version, 1)","(pw_status, 0)","(last_updated_time, 33128150)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(TN, SnapchatUserProperties)","(RL, 2)","(_id, 117)","(item_type, 5)","(intVal, None)","(realVal, None)","(booleanVal, 1)","(textVal, None)","(blobVal, None)","(row_version, 1)","(pw_status, 0)","(last_updated_time, 33128150)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(TN, SnapchatUserProperties)","(RL, 3)","(_id, 18)","(item_type, 5)","(intVal, None)","(realVal, None)","(booleanVal, 1)","(textVal, None)","(blobVal, None)","(row_version, 1)","(pw_status, 0)","(last_updated_time, 33128150)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(TN, SnapchatUserProperties)","(RL, 4)","(_id, 9)","(item_type, 5)","(intVal, None)","(realVal, None)","(booleanVal, 1)","(textVal, None)","(blobVal, None)","(row_version, 1)","(pw_status, 0)","(last_updated_time, 33128150)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(TN, SnapchatUserProperties)","(RL, 5)","(_id, 169)","(item_type, 5)","(intVal, None)","(realVal, None)","(booleanVal, 1)","(textVal, None)","(blobVal, None)","(row_version, 1)","(pw_status, 0)","(last_updated_time, 33128151)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(TN, SnapchatUserProperties)","(RL, 6)","(_id, 111)","(item_type, 5)","(intVal, None)","(realVal, None)","(booleanVal, 1)","(textVal, None)","(blobVal, None)","(row_version, 1)","(pw_status, 0)","(last_updated_time, 33128151)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(TN, SnapchatUserProperties)","(RL, 7)","(_id, 243)","(item_type, 1)","(intVal, 1617509933387)","(realVal, None)","(booleanVal, None)","(textVal, None)","(blobVal, None)","(row_version, 2)","(pw_status, 0)","(last_updated_time, 33128151)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(TN, SnapchatUserProperties)","(RL, 8)","(_id, 221)","(item_type, 4)","(intVal, None)","(realVal, None)","(booleanVal, None)","(textVal, baf2b2fc2f7224ceb91667831865db30)","(blobVal, None)","(row_version, 3)","(pw_status, 0)","(last_updated_time, 33128151)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(TN, SnapchatUserProperties)","(RL, 9)","(_id, 254)","(item_type, 5)","(intVal, None)","(realVal, None)","(booleanVal, 1)","(textVal, None)","(blobVal, None)","(row_version, 4)","(pw_status, 0)","(last_updated_time, 33128151)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(TN, SnapchatUserProperties)","(RL, 10)","(_id, 333)","(item_type, 5)","(intVal, None)","(realVal, None)","(booleanVal, 0)","(textVal, None)","(blobVal, None)","(row_version, 0)","(pw_status, 0)","(last_updated_time, 33128151)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(TN, SnapchatUserProperties)","(RL, 11)","(_id, 406)","(item_type, 1)","(intVal, 0)","(realVal, None)","(booleanVal, None)","(textVal, None)","(blobVal, None)","(row_version, 0)","(pw_status, 0)","(last_updated_time, 33128151)"
"(PID, com.snapchat.android)","(DN, core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(TN, SnapchatUserProperties)","(RL, 12)","(_id, 506)","(item_type, 5)","(intVal, None)","(realVal, None)","(booleanVal, 0)","(textVal, None)","(blobVal, None)","(row_version, 0)","(pw_status, 0)","(last_updated_time, 33128151)"
