PID,DN,DP,TN,RL,id,name,seoName,cpoPartner,popular,makeType
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.carfax.consumer/databases/room-ucl-db)","(TN, makes)","(RL, 1)","(id, 1)","(name, Acura)","(seoName, Acura)","(cpoPartner, 0)","(popular, 1)","(makeType, 0)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.carfax.consumer/databases/room-ucl-db)","(TN, makes)","(RL, 2)","(id, 2)","(name, Audi)","(seoName, Audi)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.carfax.consumer/databases/room-ucl-db)","(TN, makes)","(RL, 3)","(id, 3)","(name, BMW)","(seoName, BMW)","(cpoPartner, 0)","(popular, 1)","(makeType, 0)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.carfax.consumer/databases/room-ucl-db)","(TN, makes)","(RL, 4)","(id, 4)","(name, Buick)","(seoName, Buick)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.carfax.consumer/databases/room-ucl-db)","(TN, makes)","(RL, 5)","(id, 5)","(name, Cadillac)","(seoName, Cadillac)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.carfax.consumer/databases/room-ucl-db)","(TN, makes)","(RL, 6)","(id, 6)","(name, Chevrolet)","(seoName, Chevrolet)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.carfax.consumer/databases/room-ucl-db)","(TN, makes)","(RL, 7)","(id, 7)","(name, Chrysler)","(seoName, Chrysler)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.carfax.consumer/databases/room-ucl-db)","(TN, makes)","(RL, 8)","(id, 8)","(name, Dodge)","(seoName, Dodge)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.carfax.consumer/databases/room-ucl-db)","(TN, makes)","(RL, 9)","(id, 9)","(name, Ford)","(seoName, Ford)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
"(PID, com.carfax.consumer)","(DN, room-ucl-db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.carfax.consumer/databases/room-ucl-db)","(TN, makes)","(RL, 10)","(id, 10)","(name, GMC)","(seoName, GMC)","(cpoPartner, 1)","(popular, 1)","(makeType, 0)"
