PID,DN,DP,TN,RL,module_id,key,value
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 1)","(module_id, 229)","(key, multifile_download_id)","(value, 360)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 2)","(module_id, 229)","(key, download_api)","(value, 1)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 3)","(module_id, 229)","(key, download_allow_metered)","(value, false)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 4)","(module_id, 229)","(key, release_remote_uri)","(value, https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/214562412_310403280773542_4054863960676946815_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=Hu5esjvZwycAX_bA7l5&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=aaf2c8a2538426809d696bccd63da4a8&oe=60F5D718)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 5)","(module_id, 229)","(key, release_file_hash)","(value, e4JFvQR4V7g2bEI9SKeH6vey7Pr3zAVuLvwQwdzwBBg=)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 6)","(module_id, 229)","(key, release_full_apk_signature)","(value, AQDiMEUCIQCvmGGywhJ3R3IfBYiUwnW9sDCFgQjW5MVEg9piv+MKUwIgX4x/oNf8cGkoWa0nnfdpFh7d8QF5LPGOANw6aeF8Jsg=)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 7)","(module_id, 230)","(key, multifile_download_id)","(value, 360)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 8)","(module_id, 230)","(key, download_api)","(value, 1)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 9)","(module_id, 230)","(key, download_allow_metered)","(value, false)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 10)","(module_id, 230)","(key, release_remote_uri)","(value, https://scontent-lga3-2.xx.fbcdn.net/v/t39.10537-6/215673065_310401577440379_1891558133974870485_n.apk?_nc_cat=1&ccb=1-3&_nc_sid=379304&_nc_ohc=fFq-6ZPvsGwAX86MQDb&_nc_ad=z-m&_nc_cid=1087&_nc_zor=4&_nc_ht=scontent-lga3-2.xx&oh=18cc0558d0d806938b9af0ad7e409250&oe=60F5054C)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 11)","(module_id, 230)","(key, release_file_hash)","(value, GkQoq9NCDe1GMTIXsF0KrHIHfS+x5lJpoGy+jBIqNe4=)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 12)","(module_id, 230)","(key, release_full_apk_signature)","(value, AQDiMEUCIHk0p44tze8Ym1plwSSnxbwcGCbouJq6xdZVjFA92Rl2AiEAgjqAX4raXVwSStTFTX/1MKrWkYrAlK3qBF+Z8Q25l9M=)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 13)","(module_id, 231)","(key, multifile_download_id)","(value, 360)"
"(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.appmanager/databases/update_service)","(TN, package_modules_extras)","(RL, 14)","(module_id, 231)","(key, download_api)","(value, 1)"
