PID,DN,DP,TN,RL,group_id,current_cursor,sync_status,sync_params,send_sync_params,min_time_to_sync_timestamp_ms,can_ignore_timestamp,sync_channel,priority,last_sync_request_timestamp_ms,last_sync_completed_timestamp_ms,region_hint,data_trace_id,init_trace_timestamp_ms,bg_mode
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, sync_groups)","(RL, 1)","(group_id, 1)","(current_cursor, None)","(sync_status, 1)","(sync_params, {""full_height"":2064,""full_width"":1080,""locale"":""en_US"",""preview_height"":1032,""preview_width"":540,""scale"":2.625,""sticker_height"":619,""sticker_width"":324})","(send_sync_params, 1)","(min_time_to_sync_timestamp_ms, 4102473600000)","(can_ignore_timestamp, 0)","(sync_channel, 2)","(priority, 0)","(last_sync_request_timestamp_ms, 0)","(last_sync_completed_timestamp_ms, 0)","(region_hint, None)","(data_trace_id, None)","(init_trace_timestamp_ms, None)","(bg_mode, 2)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, sync_groups)","(RL, 2)","(group_id, 2)","(current_cursor, None)","(sync_status, 1)","(sync_params, {""profile_large_width"":262,""profile_width"":157})","(send_sync_params, 1)","(min_time_to_sync_timestamp_ms, 4102473600000)","(can_ignore_timestamp, 0)","(sync_channel, 1)","(priority, 0)","(last_sync_request_timestamp_ms, 0)","(last_sync_completed_timestamp_ms, 0)","(region_hint, None)","(data_trace_id, None)","(init_trace_timestamp_ms, None)","(bg_mode, 2)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, sync_groups)","(RL, 3)","(group_id, 6)","(current_cursor, None)","(sync_status, 1)","(sync_params, None)","(send_sync_params, 1)","(min_time_to_sync_timestamp_ms, 4102473600000)","(can_ignore_timestamp, 0)","(sync_channel, 1)","(priority, 0)","(last_sync_request_timestamp_ms, 0)","(last_sync_completed_timestamp_ms, 0)","(region_hint, None)","(data_trace_id, None)","(init_trace_timestamp_ms, None)","(bg_mode, 0)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, sync_groups)","(RL, 4)","(group_id, 7)","(current_cursor, None)","(sync_status, 1)","(sync_params, None)","(send_sync_params, 1)","(min_time_to_sync_timestamp_ms, 4102473600000)","(can_ignore_timestamp, 0)","(sync_channel, 1)","(priority, 0)","(last_sync_request_timestamp_ms, 0)","(last_sync_completed_timestamp_ms, 0)","(region_hint, None)","(data_trace_id, None)","(init_trace_timestamp_ms, None)","(bg_mode, 2)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, sync_groups)","(RL, 5)","(group_id, 8)","(current_cursor, FvTjzY8MFiQcLBgAGAAAAAA)","(sync_status, 2)","(sync_params, {""locale"":""en_US"",""query"":""ls_waterfall_sampling:should_log_waterfall|ios_lightspeed_data_trace_config:append_trace_id_to_topic:message_send_trace_sample_rate:rich_media_download_sample_rate:rich_media_upload_sample_rate:securemessage_send_trace_sample_rate:sync_client_mode_enabled:sync_group_contact_enabled:sync_group_experiment_enabled:sync_group_mailbox_enabled:sync_group_securemailbox_enabled:sync_group_settings_enabled:sync_group_stories_enabled:task_client_mode_enabled:task_client_mode_tincan_act_enabled:task_label_10005_request_id_sample_rate:task_label_145_request_id_sample_rate:task_label_145_send_trace_sample_rate:task_label_20001_send_trace_sample_rate:task_label_209_request_id_sample_rate:task_label_209_send_trace_sample_rate:task_label_228_request_id_sample_rate:task_label_228_send_trace_sample_rate:task_label_255_send_trace_sample_rate:task_label_46_request_id_sample_rate:task_label_4_send_trace_sample_rate:trace_time_window_ms|msys_sync_config:background_sync_optimization_enabled:minimal_sync_interval:skip_sync_when_no_mqtt:skip_sync_when_no_network:skip_task_when_no_network|msys_tam_trace_config:enable_tam_armadillo_group_action_trace:enable_tam_armadillo_media_download:enable_tam_armadillo_media_receive:enable_tam_armadillo_media_send:enable_tam_armadillo_message_send:enable_tam_carrier_message_send:enable_tam_message_receive_trace:enable_tam_message_send_trace|msys_tam_contact_sync:enable_tam_contact_sync|"",""query_hash"":""6f62bca4124c063555dd8be8843246188aedafdde703cb6362f7e320b9f2e989""})","(send_sync_params, 0)","(min_time_to_sync_timestamp_ms, 1627000155542)","(can_ignore_timestamp, 0)","(sync_channel, 2)","(priority, 0)","(last_sync_request_timestamp_ms, 0)","(last_sync_completed_timestamp_ms, 1626978555542)","(region_hint, ATN)","(data_trace_id, None)","(init_trace_timestamp_ms, 1626978555110)","(bg_mode, 2)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, sync_groups)","(RL, 6)","(group_id, 9)","(current_cursor, None)","(sync_status, 1)","(sync_params, None)","(send_sync_params, 1)","(min_time_to_sync_timestamp_ms, 4102473600000)","(can_ignore_timestamp, 0)","(sync_channel, 1)","(priority, 0)","(last_sync_request_timestamp_ms, 0)","(last_sync_completed_timestamp_ms, 0)","(region_hint, None)","(data_trace_id, None)","(init_trace_timestamp_ms, None)","(bg_mode, 2)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, sync_groups)","(RL, 7)","(group_id, 16)","(current_cursor, dummy_cursor)","(sync_status, 2)","(sync_params, None)","(send_sync_params, 1)","(min_time_to_sync_timestamp_ms, 1627006760673)","(can_ignore_timestamp, 0)","(sync_channel, 2)","(priority, 0)","(last_sync_request_timestamp_ms, 0)","(last_sync_completed_timestamp_ms, 1626920360673)","(region_hint, None)","(data_trace_id, None)","(init_trace_timestamp_ms, None)","(bg_mode, 2)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, sync_groups)","(RL, 8)","(group_id, 27)","(current_cursor, Fs7Wxo8MFhYcLBgAGAAAABgAAA)","(sync_status, 2)","(sync_params, None)","(send_sync_params, 0)","(min_time_to_sync_timestamp_ms, 1627006760683)","(can_ignore_timestamp, 0)","(sync_channel, 2)","(priority, 0)","(last_sync_request_timestamp_ms, 0)","(last_sync_completed_timestamp_ms, 1626920360683)","(region_hint, ATN)","(data_trace_id, None)","(init_trace_timestamp_ms, None)","(bg_mode, 2)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, sync_groups)","(RL, 9)","(group_id, 44)","(current_cursor, FggVSBolTlAYBWVuX1VTAA)","(sync_status, 2)","(sync_params, None)","(send_sync_params, 0)","(min_time_to_sync_timestamp_ms, 1626981695839)","(can_ignore_timestamp, 0)","(sync_channel, 2)","(priority, 0)","(last_sync_request_timestamp_ms, 0)","(last_sync_completed_timestamp_ms, 1626980795839)","(region_hint, None)","(data_trace_id, None)","(init_trace_timestamp_ms, 1626980795466)","(bg_mode, 0)"
"(PID, com.instagram.android)","(DN, ig_msys_database_17847227186556794)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.instagram.android/databases/ig_msys_database_17847227186556794)","(TN, sync_groups)","(RL, 10)","(group_id, 73)","(current_cursor, None)","(sync_status, 1)","(sync_params, None)","(send_sync_params, 1)","(min_time_to_sync_timestamp_ms, 4102473600000)","(can_ignore_timestamp, 0)","(sync_channel, 2)","(priority, 0)","(last_sync_request_timestamp_ms, 0)","(last_sync_completed_timestamp_ms, 0)","(region_hint, None)","(data_trace_id, None)","(init_trace_timestamp_ms, None)","(bg_mode, 2)"
