PID,DN,DP,TN,RL,id,channel_id,data
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(TN, notification_channels)","(RL, 1)","(id, 1)","(channel_id, com.urbanairship.default)","(data, {""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true})"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(TN, notification_channels)","(RL, 2)","(id, 2)","(channel_id, com.urbanairship.service)","(data, {""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true})"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(TN, notification_channels)","(RL, 3)","(id, 3)","(channel_id, com.urbanairship.news)","(data, {""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true})"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(TN, notification_channels)","(RL, 4)","(id, 4)","(channel_id, com.urbanairship.urgent)","(data, {""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true})"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(TN, notification_channels)","(RL, 5)","(id, 5)","(channel_id, com.urbanairship.low.priority)","(data, {""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":2,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Low priority Notifications"",""description"":""Low priority Messages"",""id"":""com.urbanairship.low.priority"",""light_color"":0,""can_show_badge"":true})"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(TN, notification_channels)","(RL, 6)","(id, 6)","(channel_id, com.urbanairship.min.priority)","(data, {""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":1,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Minimum priority Notifications"",""description"":""Minimum priority Messages"",""id"":""com.urbanairship.min.priority"",""light_color"":0,""can_show_badge"":true})"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(TN, notification_channels)","(RL, 7)","(id, 7)","(channel_id, com.urbanairship.default)","(data, {""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Notifications"",""description"":""General app updates"",""id"":""com.urbanairship.default"",""light_color"":0,""can_show_badge"":true})"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(TN, notification_channels)","(RL, 8)","(id, 8)","(channel_id, com.urbanairship.service)","(data, {""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Service Notifications"",""description"":""Service Messages"",""id"":""com.urbanairship.service"",""light_color"":0,""can_show_badge"":true})"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(TN, notification_channels)","(RL, 9)","(id, 9)","(channel_id, com.urbanairship.news)","(data, {""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":3,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""News Notifications"",""description"":""News Messages"",""id"":""com.urbanairship.news"",""light_color"":0,""can_show_badge"":true})"
"(PID, com.tmobile.tuesdays)","(DN, 0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.tmobile.tuesdays/no_backup/com.urbanairship.databases/0QBR4KljRIewFwzcD6iz9g_ua_notification_channel_registry.db)","(TN, notification_channels)","(RL, 10)","(id, 10)","(channel_id, com.urbanairship.urgent)","(data, {""can_bypass_dnd"":false,""lockscreen_visibility"":-1000,""should_vibrate"":false,""importance"":4,""sound"":""content:\/\/settings\/system\/notification_sound"",""should_show_lights"":false,""name"":""Urgent Notifications"",""description"":""Urgent Messages"",""id"":""com.urbanairship.urgent"",""light_color"":0,""can_show_badge"":true})"
