PID,DN,DP,TN,RL,itag,width,height,audio_channels,drm_type,is_dash,is_multi,dynamic_range_type,mime_type
"(PID, com.google.android.videos)","(DN, purchase_store.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.videos/databases/purchase_store.db)","(TN, video_formats)","(RL, 1)","(itag, 512)","(width, 3840)","(height, 2160)","(audio_channels, 0)","(drm_type, 0)","(is_dash, 1)","(is_multi, 0)","(dynamic_range_type, 4)","(mime_type, video/mp4)"
"(PID, com.google.android.videos)","(DN, purchase_store.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.videos/databases/purchase_store.db)","(TN, video_formats)","(RL, 2)","(itag, 513)","(width, 3840)","(height, 2160)","(audio_channels, 0)","(drm_type, 0)","(is_dash, 1)","(is_multi, 0)","(dynamic_range_type, 4)","(mime_type, video/mp4)"
"(PID, com.google.android.videos)","(DN, purchase_store.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.videos/databases/purchase_store.db)","(TN, video_formats)","(RL, 3)","(itag, 514)","(width, 426)","(height, 240)","(audio_channels, 0)","(drm_type, 3)","(is_dash, 1)","(is_multi, 0)","(dynamic_range_type, 1)","(mime_type, video/mp4)"
"(PID, com.google.android.videos)","(DN, purchase_store.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.videos/databases/purchase_store.db)","(TN, video_formats)","(RL, 4)","(itag, 515)","(width, 426)","(height, 240)","(audio_channels, 0)","(drm_type, 3)","(is_dash, 1)","(is_multi, 0)","(dynamic_range_type, 1)","(mime_type, video/mp4)"
"(PID, com.google.android.videos)","(DN, purchase_store.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.videos/databases/purchase_store.db)","(TN, video_formats)","(RL, 5)","(itag, 516)","(width, 640)","(height, 360)","(audio_channels, 0)","(drm_type, 3)","(is_dash, 1)","(is_multi, 0)","(dynamic_range_type, 1)","(mime_type, video/mp4)"
"(PID, com.google.android.videos)","(DN, purchase_store.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.videos/databases/purchase_store.db)","(TN, video_formats)","(RL, 6)","(itag, 517)","(width, 640)","(height, 360)","(audio_channels, 0)","(drm_type, 3)","(is_dash, 1)","(is_multi, 0)","(dynamic_range_type, 1)","(mime_type, video/mp4)"
"(PID, com.google.android.videos)","(DN, purchase_store.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.videos/databases/purchase_store.db)","(TN, video_formats)","(RL, 7)","(itag, 518)","(width, 854)","(height, 480)","(audio_channels, 0)","(drm_type, 3)","(is_dash, 1)","(is_multi, 0)","(dynamic_range_type, 1)","(mime_type, video/mp4)"
"(PID, com.google.android.videos)","(DN, purchase_store.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.videos/databases/purchase_store.db)","(TN, video_formats)","(RL, 8)","(itag, 519)","(width, 854)","(height, 480)","(audio_channels, 0)","(drm_type, 3)","(is_dash, 1)","(is_multi, 0)","(dynamic_range_type, 1)","(mime_type, video/mp4)"
"(PID, com.google.android.videos)","(DN, purchase_store.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.videos/databases/purchase_store.db)","(TN, video_formats)","(RL, 9)","(itag, 520)","(width, 1280)","(height, 720)","(audio_channels, 0)","(drm_type, 3)","(is_dash, 1)","(is_multi, 0)","(dynamic_range_type, 1)","(mime_type, video/mp4)"
"(PID, com.google.android.videos)","(DN, purchase_store.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.google.android.videos/databases/purchase_store.db)","(TN, video_formats)","(RL, 10)","(itag, 521)","(width, 1920)","(height, 1080)","(audio_channels, 0)","(drm_type, 3)","(is_dash, 1)","(is_multi, 0)","(dynamic_range_type, 1)","(mime_type, video/mp4)"
