PID,DN,DP,TN,RL,row_id,items_row_id,sync_reasons_row_id,subscription_rank
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 1)","(row_id, 226)","(items_row_id, 133)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415745875567)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 2)","(row_id, 237)","(items_row_id, 127)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415737094727)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 3)","(row_id, 240)","(items_row_id, 144)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415721363788)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 4)","(row_id, 241)","(items_row_id, 145)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415655075746)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 5)","(row_id, 242)","(items_row_id, 146)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415595420003)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 6)","(row_id, 243)","(items_row_id, 147)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415574999434)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 7)","(row_id, 244)","(items_row_id, 148)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415550520240)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 8)","(row_id, 245)","(items_row_id, 149)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415497512415)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 9)","(row_id, 246)","(items_row_id, 150)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415413266295)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 10)","(row_id, 247)","(items_row_id, 151)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415383007026)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 11)","(row_id, 250)","(items_row_id, 152)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415357172416)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 12)","(row_id, 251)","(items_row_id, 154)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415304270481)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 13)","(row_id, 253)","(items_row_id, 155)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415290608259)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 14)","(row_id, 254)","(items_row_id, 156)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415248978376)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 15)","(row_id, 255)","(items_row_id, 157)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370415073667611)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 16)","(row_id, 256)","(items_row_id, 158)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370414962346060)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 17)","(row_id, 258)","(items_row_id, 160)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370414898170151)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 18)","(row_id, 261)","(items_row_id, 162)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370414873161939)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 19)","(row_id, 262)","(items_row_id, 163)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370414772650337)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 20)","(row_id, 263)","(items_row_id, 164)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370414731065511)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 21)","(row_id, 265)","(items_row_id, 166)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370414707961494)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 22)","(row_id, 266)","(items_row_id, 167)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370414636112112)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, item_sync_reasons)","(RL, 23)","(row_id, 267)","(items_row_id, 168)","(sync_reasons_row_id, 1)","(subscription_rank, 9223370414598309555)"
