PID,DN,DP,TN,RL,row_id,key,property
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 1)","(row_id, 1)","(key, 2)","(property, CAISHvri+8wDGAgCEgIIAhICCAMSAggEGAEoASgCKANgAQ==)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 2)","(row_id, 2)","(key, 15)","(property, CA8SGvqXh48FFAgBEAEYACAAKAFAAUgBUABYAGAB)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 3)","(row_id, 3)","(key, 9)","(property, CAkSAggB)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 4)","(row_id, 4)","(key, 8)","(property, CAgSAggB)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 5)","(row_id, 5)","(key, 5)","(property, CAUSAhAD)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 6)","(row_id, 6)","(key, 1)","(property, CAESCxCAjJH5//////8B)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 7)","(row_id, 7)","(key, 16)","(property, CBAS7AGKhNabBeUBCuIBCkhDaE1JbWV6XzBhZjM4UUlWbFFXaUF4MDFoZ0ZrRURrYURHTmhjbWQxY25WekxtTnZiU0M1M2R5Q3JTODRqdWlsZ052OGhkWVgQud3cgq0vKFowuent+6wvOgxjYXJndXJ1cy5jb21IAVAAWhx0aHJlYWQtZjoxNzA1NzY0NjM0MTM0OTM0NTQyggFVCAUqGgoFQXV0b3MaCSNERDAwMDAwMDADUCZYFGADMgVBdXRvc0IASAFaH0NEa1NFd2oydlB6UnBfZnhBaFVQbVJnS0hmN2VEQWtgAXAQeACAAQEQAQ==)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 8)","(row_id, 8)","(key, 11)","(property, CAsSD9qEh+cECQi9s6X/rC8QAQ==)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 9)","(row_id, 9)","(key, 10)","(property, CAoSPprUudwEOAoRXnNxX2lnX2lfcGVyc29uYWwKAl5mCg9ec3FfaWdfaV9zb2NpYWwKDl5zcV9pZ19pX3Byb21v)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 10)","(row_id, 10)","(key, 6)","(property, CAYSAggA)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 11)","(row_id, 11)","(key, 13)","(property, CA0SAhAI)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 12)","(row_id, 12)","(key, 3)","(property, CAMSENLYqJsECgihCRDJ2+/7rC8=)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 13)","(row_id, 13)","(key, 18)","(property, CBISrQHa9pSrCKYBCqMBZnNhdmRndmhUNG1KX0VSb3hzMUlMZTpBUEE5MWJFWmM2NUpXYVFJV1ZoNnRtVFBxcEFOV3lmZjlPN0stcDllcjRibnE1X0wxVzY0aHI3NlJGN3c1SFQyXzNvS21rRDlBSlRDUC1mdUVSMDl4bUJNSUZpSncxeHVEeEYxX2hnQm9iVkNxM09ncUNxZ01pWWI1RkMxR1N1US1xUlpEdEM2UmFDbQ==)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, system_properties)","(RL, 14)","(row_id, 14)","(key, 19)","(property, CBMSAggB)"
