PID,DN,DP,TN,RL,row_id,label_server_perm_id,unread_count,total_count,unseen_count
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, label_counts)","(RL, 1)","(row_id, 30253)","(label_server_perm_id, ^smartlabel_notification)","(unread_count, 60)","(total_count, 70)","(unseen_count, None)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, label_counts)","(RL, 2)","(row_id, 30254)","(label_server_perm_id, ^iim)","(unread_count, 0)","(total_count, 1)","(unseen_count, None)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, label_counts)","(RL, 3)","(row_id, 30255)","(label_server_perm_id, ^smartlabel_group)","(unread_count, 0)","(total_count, 0)","(unseen_count, None)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, label_counts)","(RL, 4)","(row_id, 30256)","(label_server_perm_id, ^b)","(unread_count, 0)","(total_count, 0)","(unseen_count, None)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, label_counts)","(RL, 5)","(row_id, 30257)","(label_server_perm_id, ^sq_ig_i_personal)","(unread_count, 60)","(total_count, 70)","(unseen_count, 0)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, label_counts)","(RL, 6)","(row_id, 30258)","(label_server_perm_id, ^sq_ig_i_social)","(unread_count, 218)","(total_count, 218)","(unseen_count, 218)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, label_counts)","(RL, 7)","(row_id, 30259)","(label_server_perm_id, ^f)","(unread_count, 0)","(total_count, 0)","(unseen_count, None)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, label_counts)","(RL, 8)","(row_id, 30260)","(label_server_perm_id, ^i)","(unread_count, 329)","(total_count, 339)","(unseen_count, None)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, label_counts)","(RL, 9)","(row_id, 30261)","(label_server_perm_id, ^cr)","(unread_count, 0)","(total_count, 0)","(unseen_count, None)"
"(PID, com.google.android.gm)","(DN, bigTopDataDB.-1285600966)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.google.android.gm/databases/bigTopDataDB.-1285600966)","(TN, label_counts)","(RL, 10)","(row_id, 30262)","(label_server_perm_id, ^p_cc)","(unread_count, 0)","(total_count, 0)","(unseen_count, None)"
