Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,name,displayName,prevalence
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 1)","(name, DataCamp Limited)","(displayName, DataCamp)","(prevalence, 0.179)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 2)","(name, CleverDATA LLC)","(displayName, CleverDATA)","(prevalence, 0.326)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 3)","(name, RhythmOne)","(displayName, RhythmOne)","(prevalence, 8.26)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 4)","(name, Fastly, Inc.)","(displayName, Fastly)","(prevalence, 4.67)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 5)","(name, 247 Customer Inc)","(displayName, 247 Customer)","(prevalence, 0.0192)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 6)","(name, Google LLC)","(displayName, Google)","(prevalence, 80.8)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 7)","(name, Amazon Technologies, Inc.)","(displayName, Amazon.com)","(prevalence, 25.7)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 8)","(name, Adobe Inc.)","(displayName, Adobe)","(prevalence, 21.5)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 9)","(name, 33Across, Inc.)","(displayName, 33Across)","(prevalence, 7.13)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 10)","(name, Improve Digital BV)","(displayName, Improve Digital)","(prevalence, 6.43)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 11)","(name, CatchPoint Systems Inc)","(displayName, CatchPoint Systems)","(prevalence, 0.0637)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 12)","(name, TripleLift)","(displayName, TripleLift)","(prevalence, 7.37)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 13)","(name, Adagio)","(displayName, Adagio)","(prevalence, 0.741)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 14)","(name, AdSupply, Inc.)","(displayName, AdSupply)","(prevalence, 0.0226)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 15)","(name, 4strokemedia)","(displayName, 4strokemedia)","(prevalence, 0.0212)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 16)","(name, 6 Sense Insights Inc.)","(displayName, 6 Sense Insights)","(prevalence, 0.193)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 17)","(name, Alliance for Audited Media)","(displayName, Alliance for Audited Media)","(prevalence, 0.059)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 18)","(name, Acceptable Ads Exchange)","(displayName, Acceptable Ads Exchange)","(prevalence, 0.253)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 19)","(name, Liwio)","(displayName, Liwio)","(prevalence, 0.252)"
"(Package Name, com.duckduckgo.mobile.android)","(Original Database Name, app.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.duckduckgo.mobile.android/databases/app.db)","(Table Name, tds_entity)","(Line ID, 20)","(name, Accengage)","(displayName, Accengage)","(prevalence, 0.0075)"
