PID,DN,DP,TN,RL,_id,storyId,isSubscribed,cardType,addedTimestampMs,isNotifOptedIn,isHidden
"(PID, com.snapchat.android)","(DN, simple_db_helper.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(TN, StoryPreference)","(RL, 1)","(_id, 869)","(storyId, 4918328776458256)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(PID, com.snapchat.android)","(DN, simple_db_helper.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(TN, StoryPreference)","(RL, 2)","(_id, 921)","(storyId, 5863546155171856)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(PID, com.snapchat.android)","(DN, simple_db_helper.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(TN, StoryPreference)","(RL, 3)","(_id, 1223)","(storyId, 6164636594077712)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(PID, com.snapchat.android)","(DN, simple_db_helper.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(TN, StoryPreference)","(RL, 4)","(_id, 1247)","(storyId, 5118067394478080)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(PID, com.snapchat.android)","(DN, simple_db_helper.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(TN, StoryPreference)","(RL, 5)","(_id, 1248)","(storyId, d7a7ebeb-0fe4-4035-bb72-01fc812b0e6c)","(isSubscribed, 0)","(cardType, 4)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(PID, com.snapchat.android)","(DN, simple_db_helper.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(TN, StoryPreference)","(RL, 6)","(_id, 1249)","(storyId, 6066054247481360)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(PID, com.snapchat.android)","(DN, simple_db_helper.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(TN, StoryPreference)","(RL, 7)","(_id, 1250)","(storyId, 5400259508568080)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(PID, com.snapchat.android)","(DN, simple_db_helper.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(TN, StoryPreference)","(RL, 8)","(_id, 1251)","(storyId, 5124150410346496)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(PID, com.snapchat.android)","(DN, simple_db_helper.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(TN, StoryPreference)","(RL, 9)","(_id, 1252)","(storyId, 5075335791771648)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(PID, com.snapchat.android)","(DN, simple_db_helper.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(TN, StoryPreference)","(RL, 10)","(_id, 1253)","(storyId, 6315636286029840)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
