Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,_id,storyId,isSubscribed,cardType,addedTimestampMs,isNotifOptedIn,isHidden
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 1)","(_id, 869)","(storyId, 4918328776458256)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 2)","(_id, 921)","(storyId, 5863546155171856)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 3)","(_id, 1223)","(storyId, 6164636594077712)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 4)","(_id, 1247)","(storyId, 5118067394478080)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 5)","(_id, 1248)","(storyId, d7a7ebeb-0fe4-4035-bb72-01fc812b0e6c)","(isSubscribed, 0)","(cardType, 4)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 6)","(_id, 1249)","(storyId, 6066054247481360)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 7)","(_id, 1250)","(storyId, 5400259508568080)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 8)","(_id, 1251)","(storyId, 5124150410346496)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 9)","(_id, 1252)","(storyId, 5075335791771648)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 10)","(_id, 1253)","(storyId, 6315636286029840)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 11)","(_id, 1254)","(storyId, ffffffff-ffff-ffff-ffff-ffffffffffff)","(isSubscribed, 0)","(cardType, 4)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 12)","(_id, 1255)","(storyId, 6327647166267408)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 13)","(_id, 1256)","(storyId, 4884560968679440)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 14)","(_id, 1257)","(storyId, 5e06f70c-3a2c-46dc-b356-7e9596b9c9ed)","(isSubscribed, 0)","(cardType, 2)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 15)","(_id, 1258)","(storyId, 5297934188675088)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 16)","(_id, 1259)","(storyId, 6349131544789008)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
"(Package Name, com.snapchat.android)","(Original Database Name, simple_db_helper.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/simple_db_helper.db)","(Table Name, StoryPreference)","(Line ID, 17)","(_id, 1260)","(storyId, 5594144225099792)","(isSubscribed, 0)","(cardType, 1)","(addedTimestampMs, 1626288015528)","(isNotifOptedIn, 0)","(isHidden, 0)"
