Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,key,type,value
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 1)","(key, /tosacceptance/reason)","(type, 1)","(value, EXPLICIT_COMPONENT_STATE)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 2)","(key, /zero_rating2/clearable/current_zero_rating_status)","(type, 1)","(value, disabled)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 3)","(key, /config/offlineexperiment/exposed/msgr_sso_login_profile_pic_holdout/100065791655767)","(type, 2)","(value, 1)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 4)","(key, /settings/analyticsmetainf_fbmeta)","(type, 1)","(value, NO_FILE)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 5)","(key, /config/path_provider/eviction.v2/383861885)","(type, 1)","(value, {""size_config"":{""max_size"":20971520,""max_size_low_space_bytes"":20971520,""max_size_very_low_space_bytes"":20971520,""delete_only_on_init"":false},""staleness_config"":{""stale_age_s"":5184000},""eviction_type"":""stash"",""cache_name"":""ras_blobs"",""feature_name"":""ras_blobs"",""path"":""\/data\/user\/0\/com.facebook.orca\/app_ras_blobs""})"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 6)","(key, /reached_neue_activity/)","(type, 2)","(value, 0)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 7)","(key, /settings/data_analyticstotal_bytes_received_background)","(type, 4)","(value, 0)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 8)","(key, /shared/device_id)","(type, 1)","(value, 2d7729db-7555-4066-893c-2b5eb3e26824)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 9)","(key, /config/path_provider/eviction.v2/-1725531165)","(type, 1)","(value, {""size_config"":{""max_size"":10485760,""max_size_low_space_bytes"":10485760,""max_size_very_low_space_bytes"":10485760,""delete_only_on_init"":false},""staleness_config"":{""stale_age_s"":604800},""eviction_type"":""stash"",""cache_name"":""graph_service_cache"",""feature_name"":""graph_service_cache"",""path"":""\/data\/user\/0\/com.facebook.orca\/app_graph_service_cache\/__out_of_scope__""})"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 10)","(key, /unified_account_login/app_state_for_login_form)","(type, 1)","(value, cold_start)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 11)","(key, /config/offlineexperiment/values/msgr_sso_auto_login_holdout/100065791655767)","(type, 3)","(value, 502)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 12)","(key, /config/neue/logged_platform_event/app_install)","(type, 2)","(value, 1)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 13)","(key, /settings/data_analyticstotal_bytes_received_foreground)","(type, 4)","(value, 0)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 14)","(key, /config/image_pipeline_mc_providerbitmap_max_size_percent)","(type, 6)","(value, 0.5)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 15)","(key, /installreferrer/referrer_processed)","(type, 2)","(value, 1)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 16)","(key, /settings/data_analyticstotal_bytes_sent_background)","(type, 4)","(value, 0)"
"(Package Name, com.facebook.orca)","(Original Database Name, prefs_db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.facebook.orca/databases/prefs_db)","(Table Name, preferences)","(Line ID, 17)","(key, /config/image_pipeline_mc_providerprepare_to_draw_enabled)","(type, 2)","(value, 1)"
