PID,DN,DP,TN,RL,name,value,delta
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 1)","(name, /webinstall/resolveapplink/failed)","(value, 4)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 2)","(name, /download/errors/missed_download_completion_event)","(value, 1)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 3)","(name, /download/errors/duplicate_complete_event)","(value, 1)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 4)","(name, /audit/api/com.facebook.appmanager/acquire_apk_staging_uri/attempt)","(value, 3)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 5)","(name, /audit/api/com.facebook.appmanager/install/attempt)","(value, 3)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 6)","(name, /audit/funnel/appmanager_requests_should_install/from/11/to/12)","(value, 1)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 7)","(name, /audit/api/com.facebook.appmanager/install/rejected)","(value, 1)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 8)","(name, /http/code/500)","(value, 7)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 9)","(name, /phoenix/redirect/com.instagram.android/killswitch/on)","(value, 18)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 10)","(name, /phoenix/redirect/com.facebook.system/killswitch/on)","(value, 13)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 11)","(name, /phoenix/redirect/com.facebook.appmanager/killswitch/on)","(value, 13)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 12)","(name, /phoenix/redirect/com.facebook.katana/killswitch/on)","(value, 18)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 13)","(name, /phoenix/redirect/com.facebook.orca/killswitch/on)","(value, 18)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 14)","(name, /phoenix/redirect/com.facebook.services/killswitch/on)","(value, 23)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 15)","(name, /download/errors/no_owner)","(value, 1)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 16)","(name, /audit/PreloadedFbnsService/com.facebook.katana/addPowerSaveTempWhitelistApp/attempt)","(value, 27)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 17)","(name, /softerrors/reported)","(value, 10)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 18)","(name, /softerrors/dropped)","(value, 10)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 19)","(name, /network/exceptions/sockettimeout)","(value, 3)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 20)","(name, /soft_error_counter/service_futures/exception_thrown)","(value, 4)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 21)","(name, /audit/PreloadedFbnsService/android.intent.action.MY_PACKAGE_REPLACED/start/service/FBNS_STARTED)","(value, 2)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 22)","(name, /audit/PreloadedFbnsService/com.whatsapp/addPowerSaveTempWhitelistApp/attempt)","(value, 2)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 23)","(name, /audit/PreloadedFbnsService/init/start/service/FBNS_STARTED)","(value, 4)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 24)","(name, /network/exceptions/unknownhost)","(value, 15)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 25)","(name, /audit/PreloadedFbnsService/android.intent.action.BOOT_COMPLETED/start/service/FBNS_STARTED)","(value, 2)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 26)","(name, /phoenix/redirect/com.facebook.services/managed_package/false/com.facebook.appmanager)","(value, 14)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 27)","(name, /phoenix/redirect/com.facebook.appmanager/killswitch/off)","(value, 14)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 28)","(name, /phoenix/redirect/com.facebook.appmanager/installer/compatible)","(value, 14)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 29)","(name, /phoenix/redirect/com.facebook.services/killswitch/off)","(value, 14)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 30)","(name, /phoenix/redirect/com.facebook.appmanager/managed_package/true)","(value, 14)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 31)","(name, /phoenix/redirect/com.facebook.appmanager/engine/disabled)","(value, 14)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 32)","(name, /phoenix/redirect/com.facebook.appmanager/autoupdate/on)","(value, 14)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 33)","(name, /phoenix/redirect/com.facebook.appmanager/start)","(value, 27)","(delta, 0)"
"(PID, com.facebook.appmanager)","(DN, counters)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.facebook.appmanager/databases/counters)","(TN, counters)","(RL, 34)","(name, /phoenix/redirect/com.facebook.services/start)","(value, 37)","(delta, 0)"
