Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,_id,item_type,intVal,realVal,booleanVal,textVal,blobVal,row_version,pw_status,last_updated_time
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, SnapchatUserProperties)","(Line ID, 1)","(_id, 45)","(item_type, 5)",,,"(booleanVal, 1.0)",,,"(row_version, 1)","(pw_status, 0)","(last_updated_time, 33128150)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, SnapchatUserProperties)","(Line ID, 2)","(_id, 117)","(item_type, 5)",,,"(booleanVal, 1.0)",,,"(row_version, 1)","(pw_status, 0)","(last_updated_time, 33128150)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, SnapchatUserProperties)","(Line ID, 3)","(_id, 18)","(item_type, 5)",,,"(booleanVal, 1.0)",,,"(row_version, 1)","(pw_status, 0)","(last_updated_time, 33128150)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, SnapchatUserProperties)","(Line ID, 4)","(_id, 9)","(item_type, 5)",,,"(booleanVal, 1.0)",,,"(row_version, 1)","(pw_status, 0)","(last_updated_time, 33128150)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, SnapchatUserProperties)","(Line ID, 5)","(_id, 169)","(item_type, 5)",,,"(booleanVal, 1.0)",,,"(row_version, 1)","(pw_status, 0)","(last_updated_time, 33128151)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, SnapchatUserProperties)","(Line ID, 6)","(_id, 111)","(item_type, 5)",,,"(booleanVal, 1.0)",,,"(row_version, 1)","(pw_status, 0)","(last_updated_time, 33128151)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, SnapchatUserProperties)","(Line ID, 7)","(_id, 243)","(item_type, 1)","(intVal, 1617509933387.0)",,,,,"(row_version, 2)","(pw_status, 0)","(last_updated_time, 33128151)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, SnapchatUserProperties)","(Line ID, 8)","(_id, 221)","(item_type, 4)",,,,"(textVal, baf2b2fc2f7224ceb91667831865db30)",,"(row_version, 3)","(pw_status, 0)","(last_updated_time, 33128151)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, SnapchatUserProperties)","(Line ID, 9)","(_id, 254)","(item_type, 5)",,,"(booleanVal, 1.0)",,,"(row_version, 4)","(pw_status, 0)","(last_updated_time, 33128151)"
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, SnapchatUserProperties)","(Line ID, 10)","(_id, 333)","(item_type, 5)",,,"(booleanVal, 0.0)",,,"(row_version, 0)","(pw_status, 0)","(last_updated_time, 33128151)"
