Package Name,Original Database Name,Original Path of Database,Table Name,Line ID,_id,key,type,booleanValue,intValue,longValue,floatValue,doubleValue,stringValue,needSync,version
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, Preferences)","(Line ID, 1)","(_id, 1)","(key, CORE~SAMPLING_UUID)","(type, 0)",,,,,,"(stringValue, a646af90-7e95-1971-6006-b50a2bca107b)",,
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, Preferences)","(Line ID, 2)","(_id, 14)","(key, SNAPADS~SAID)","(type, 0)",,,,,,"(stringValue, a167d828-f20e-4ea6-9002-1d972ba3eca3)",,
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, Preferences)","(Line ID, 3)","(_id, 19)","(key, AB_PLATFORM~BLOOPS_PROFILE_SELFIE_POLICY_CARD_ANDROID)","(type, 2)",,,,,,"(stringValue, 43)",,
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, Preferences)","(Line ID, 4)","(_id, 22)","(key, AB_PLATFORM~UNLOCKABLES_GATING)","(type, 2)",,,,,,"(stringValue, 0)",,
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, Preferences)","(Line ID, 5)","(_id, 24)","(key, SAVED_SNAPS~FEED_SAVE)","(type, 2)","(booleanValue, 0.0)",,,,,,,
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, Preferences)","(Line ID, 6)","(_id, 27)","(key, NETWORK~USE_NATIVE_NETWORK_RANKER)","(type, 2)","(booleanValue, 1.0)",,,,,,,
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, Preferences)","(Line ID, 7)","(_id, 28)","(key, AB_PLATFORM~PU_PURGE_CACHED_SPOTLIGHT_EXPLORATION_STORIES)","(type, 2)",,,,,,"(stringValue, 27)",,
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, Preferences)","(Line ID, 8)","(_id, 30)","(key, SAVED_SNAPS~CHAT_TOOLTIP)","(type, 2)","(booleanValue, 1.0)",,,,,,,
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, Preferences)","(Line ID, 9)","(_id, 35)","(key, BLIZZARD~DURABLE_JOB_RETRIES_ENABLED)","(type, 2)","(booleanValue, 0.0)",,,,,,,
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, Preferences)","(Line ID, 10)","(_id, 41)","(key, SNAPADS~CONTENT_INTERSTITIAL_AB_MIN_STORIES_BETWEEN_ADS)","(type, 2)",,"(intValue, 10.0)",,,,,,
"(Package Name, com.snapchat.android)","(Original Database Name, core.db)","(Original Path of Database, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/core.db)","(Table Name, Preferences)","(Line ID, 11)","(_id, 42)","(key, SNAPADS~IS_NOT_IN_ADS_HOLDOUT)","(type, 2)","(booleanValue, 1.0)",,,,,,,
