UID,AN,PID,DN,DP,TN,RL,update_id,permission
"(UID, 6a7104989a0a968)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 142)","(update_id, 66)","(permission, android.permission.RECORD_AUDIO)"
"(UID, f2a19547f0a05ce)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 143)","(update_id, 66)","(permission, com.facebook.katana.permission.RECEIVE_ADM_MESSAGE)"
"(UID, 39a4070b998f356)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 144)","(update_id, 66)","(permission, android.permission.BROADCAST_STICKY)"
"(UID, 64cdcf5f19821d4)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 145)","(update_id, 66)","(permission, android.permission.CHANGE_WIFI_STATE)"
"(UID, 137651ef7214b1c)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 146)","(update_id, 66)","(permission, android.permission.INTERNET)"
"(UID, 596edcf995bc06f)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 147)","(update_id, 66)","(permission, android.permission.GET_TASKS)"
"(UID, 0ec8d0c609e715d)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 148)","(update_id, 66)","(permission, android.permission.USE_FULL_SCREEN_INTENT)"
"(UID, f114b1158993659)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 149)","(update_id, 66)","(permission, com.facebook.katana.provider.ACCESS)"
"(UID, d7cf7801f30c48a)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 150)","(update_id, 66)","(permission, android.permission.BLUETOOTH_CONNECT)"
"(UID, d3d1bb1c0b1d7a7)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 151)","(update_id, 66)","(permission, com.facebook.permission.prod.FB_APP_COMMUNICATION)"
"(UID, 7ed1ffcecaf80cc)","(AN, Facebook App Manager)","(PID, com.facebook.appmanager)","(DN, update_service)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.facebook.appmanager/databases/update_service)","(TN, package_permission)","(RL, 152)","(update_id, 66)","(permission, android.permission.READ_CONTACTS)"
