UID,AN,PID,DN,DP,TN,RL,stickerId,packId,cacheKey,stickerType,capFriends,capGeo,targetPreview,targetChat,targetOdg,animated,priority,expandable,sponsored,displayCount,stickerPackTitle,boltMediaToken,rank,targetStickerQuickReply,miniAppId,miniShareInfo,capabilities
"(UID, 095e4e3bc9c8853)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1169)","(stickerId, hometab_megapack_food_drinks~ramen777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/w5laFr4Z7oonkyOFT0wUp?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMud5usFSAJQB2AB&uc=7)","(rank, 7250)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, b9506c3bf6caf03)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1170)","(stickerId, hometab_megapack_food_drinks~props_i-love-food777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/j4QVUhMhk9iACahmqAXQt?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMud5usFSAJQB2AB&uc=7)","(rank, 121000)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, bc61605aff8cc9f)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1171)","(stickerId, hometab_megapack_food_drinks~spilt_tea.webp)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 1)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/xD1mUl1ehNulgfxnuhkfD?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCM6d5usFSAJQB2AB&uc=7)","(rank, 115750)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 3922e058ed89440)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1172)","(stickerId, hometab_megapack_food_drinks~char-7777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/6mHJbBek9VMqdN4v0hVP8?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCLed5usFSAJQB2AB&uc=7)","(rank, 35750)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, f524eacaf12f0fb)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1173)","(stickerId, hometab_megapack_food_drinks~pizza_2777.webp)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 1)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/XrN0c4czeaVxO6mSAlq7E?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMed5usFSAJQB2AB&uc=7)","(rank, 121500)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 30e8b404d68684f)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1174)","(stickerId, hometab_megapack_food_drinks~17777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/YXSav3yAU9lGceYyh69WZ?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCKmd5usFSAJQB2AB&uc=7)","(rank, 144375)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 7b2a43144c1214a)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1175)","(stickerId, hometab_megapack_food_drinks~animated_fries777.webp)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 1)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/tKC8sGfQcHeHIx5ILujDI?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCK6d5usFSAJQB2AB&uc=7)","(rank, 6000)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 0e75ca27d8767d3)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1176)","(stickerId, hometab_megapack_food_drinks~papaya777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/JUc0nNWKwdeucJtwKG6F3?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMSd5usFSAJQB2AB&uc=7)","(rank, 56000)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 92ce8c8aaec732d)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1177)","(stickerId, hometab_megapack_food_drinks~kebab777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/0dFRlC46u5xG5OkaBpirs?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMGd5usFSAJQB2AB&uc=7)","(rank, 46000)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
"(UID, 511532d7a0da390)","(AN, Snapchat)","(PID, com.snapchat.android)","(DN, stickers.core.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/data/com.snapchat.android/databases/stickers.core.db)","(TN, ContextualSticker)","(RL, 1178)","(stickerId, hometab_megapack_food_drinks~pizza_dude777.png)","(packId, hometab_megapack_food_drinks)","(cacheKey, 1314566769)","(stickerType, StickerPackMetadata)","(capFriends, 0)","(capGeo, 1)","(targetPreview, 1)","(targetChat, 0)","(targetOdg, 0)","(animated, 0)","(priority, 325)","(expandable, 0)","(sponsored, 0)","(displayCount, 35)","(stickerPackTitle, )","(boltMediaToken, https://bolt-gcdn.sc-cdn.net/3/l3nZ4SDsgYAEqRLMHUQsZ?bo=EiIaABoAMgF9OgsEBQcNDxFydHZ3e0IGCMid5usFSAJQB2AB&uc=7)","(rank, 41500)","(targetStickerQuickReply, 0)","(miniAppId, )","(miniShareInfo, )","(capabilities, )"
