UID,AN,PID,DN,DP,TN,RL,_id,text,weight,type,ref_id,result_context
"(UID, 76fa36339bc825d)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 2575)","(_id, 2633)","(text, @levine)","(weight, 52225)","(type, 1)","(ref_id, 64488804)","(result_context, None)"
"(UID, 5d9523f7f7d1c57)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 2576)","(_id, 2634)","(text, ken)","(weight, 52225)","(type, 1)","(ref_id, 64488804)","(result_context, None)"
"(UID, a94a4712327a307)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 2577)","(_id, 2635)","(text, kenlevine)","(weight, 52225)","(type, 1)","(ref_id, 64488804)","(result_context, None)"
"(UID, 754c997ebbdd63a)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 2578)","(_id, 2636)","(text, kris humphries)","(weight, 52225)","(type, 1)","(ref_id, 66492624)","(result_context, None)"
"(UID, 0fc20208b4055e5)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 2579)","(_id, 2637)","(text, kris)","(weight, 52225)","(type, 1)","(ref_id, 66492624)","(result_context, None)"
"(UID, ea611d21a2ae8a5)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 2580)","(_id, 2638)","(text, @krishumphries)","(weight, 52225)","(type, 1)","(ref_id, 66492624)","(result_context, None)"
"(UID, 06fbd502a25d7ff)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 2581)","(_id, 2639)","(text, humphries)","(weight, 52225)","(type, 1)","(ref_id, 66492624)","(result_context, None)"
"(UID, 2f5e86bc9f0d0d4)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 2582)","(_id, 2640)","(text, krishumphries)","(weight, 52225)","(type, 1)","(ref_id, 66492624)","(result_context, None)"
"(UID, 6e2893c6d620eeb)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 2583)","(_id, 2641)","(text, colum higgins)","(weight, 52225)","(type, 1)","(ref_id, 74561891)","(result_context, None)"
"(UID, d0dbac29635d9d9)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data_mirror/data_ce/null/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 2584)","(_id, 2642)","(text, @columhiggins)","(weight, 52225)","(type, 1)","(ref_id, 74561891)","(result_context, None)"
