UID,AN,PID,DN,DP,TN,RL,_id,text,weight,type,ref_id,result_context
"(UID, edf328233d68e2f)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8811)","(_id, 8869)","(text, jada)","(weight, 51524)","(type, 1)","(ref_id, 382813246)","(result_context, None)"
"(UID, 1ebb1d29dd2b605)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8812)","(_id, 8870)","(text, jadapinkettsens)","(weight, 51524)","(type, 1)","(ref_id, 382813246)","(result_context, None)"
"(UID, 97c20a4dde6544d)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8813)","(_id, 8871)","(text, pinkett)","(weight, 51524)","(type, 1)","(ref_id, 382813246)","(result_context, None)"
"(UID, 17a8c48e4343594)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8814)","(_id, 8872)","(text, jada pinkett sens)","(weight, 51524)","(type, 1)","(ref_id, 382813246)","(result_context, None)"
"(UID, 9a63e1e14563443)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8815)","(_id, 8873)","(text, wtyky)","(weight, 51524)","(type, 1)","(ref_id, 382813246)","(result_context, None)"
"(UID, 365fb7ebbd3f145)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8816)","(_id, 8874)","(text, joshc)","(weight, 51524)","(type, 1)","(ref_id, 458126191)","(result_context, None)"
"(UID, 7fe0f3b95ed4ad8)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8817)","(_id, 8875)","(text, jch269)","(weight, 51524)","(type, 1)","(ref_id, 458126191)","(result_context, None)"
"(UID, 0f73e821cd2e0a0)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8818)","(_id, 8876)","(text, c)","(weight, 51524)","(type, 1)","(ref_id, 458126191)","(result_context, None)"
"(UID, 1574d1c8bbaf444)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8819)","(_id, 8877)","(text, @jch269)","(weight, 51524)","(type, 1)","(ref_id, 458126191)","(result_context, None)"
"(UID, 40eaaaa7f269ee1)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8820)","(_id, 8878)","(text, josh)","(weight, 51524)","(type, 1)","(ref_id, 458126191)","(result_context, None)"
"(UID, 7682aae1a68e560)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8821)","(_id, 8879)","(text, josh c)","(weight, 51524)","(type, 1)","(ref_id, 458126191)","(result_context, None)"
"(UID, c751707b6bc54ac)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8822)","(_id, 8880)","(text, pasco police dept)","(weight, 51524)","(type, 1)","(ref_id, 596618175)","(result_context, None)"
"(UID, 3313c33030756b6)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8823)","(_id, 8881)","(text, @pascopolicedept)","(weight, 51524)","(type, 1)","(ref_id, 596618175)","(result_context, None)"
"(UID, 7d7e2e4892b2e28)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8824)","(_id, 8882)","(text, police)","(weight, 51524)","(type, 1)","(ref_id, 596618175)","(result_context, None)"
"(UID, efedaca6ebe6329)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8825)","(_id, 8883)","(text, pasco)","(weight, 51524)","(type, 1)","(ref_id, 596618175)","(result_context, None)"
"(UID, a416b2ce11b677e)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8826)","(_id, 8884)","(text, pascopolicedept)","(weight, 51524)","(type, 1)","(ref_id, 596618175)","(result_context, None)"
"(UID, d6198b449f668ac)","(AN, Twitter)","(PID, com.twitter.android)","(DN, 1378525099184291843-61.db)","(DP, /home/kali/Desktop/RA/Heisenberg Android/Dump/data/user/0/com.twitter.android/databases/1378525099184291843-61.db)","(TN, tokens)","(RL, 8827)","(_id, 8885)","(text, dept)","(weight, 51524)","(type, 1)","(ref_id, 596618175)","(result_context, None)"
